,head,topic_rep,0.57: Pak-Afghan-US-relations
1310,Aamir Liaquat leaves Bol TV citing monetary dispute,0.02316661,
1072,Diary of a Careem-aholic,0.023060279,
315,Imran praises judiciary for ousting Sharif,0.022538109,
1965,SHC orders retrial in high-profile Shahzeb Khan murder case,0.022402056,
2096,Rao Anwar goes on leave as AIG Sindh orders inquiry into Stargate firing incident,0.022154519,
1273,Lebanon's Hariri caught in regional feuds,0.021967702,
967,"15,000 scientists say threats to planet now ‘far worse’ than in ’92",0.021126954,
1726,Sindh Assembly demands registration of 13m women voters in country,0.020377638,
869,NON-FICTION: THE CRITICAL VISION OF SIBTE HASAN,0.019975161,
2050,Assad negotiators meet UN envoy at Syria peace talks,0.019898672,
1413,NON-FICTION: HISTORIES OF THE SELF,0.019509543,
583,Asia’s rich exposed in Paradise Papers,0.019497223,
1512,Merkel shows readiness for fresh elections,0.01932081,
388,Lebanese president refuses to accept PM’s resignation until he returns,0.019027989,
1849,Sit-ins diminish industrial output in Karachi,0.018768497,
1426,'Going to jail was like falling in love again' – Faiz Ahmed Faiz,0.018594977,
655,Libor doubts creating ‘alarming’ practices,0.01856187,
1496,Murad to inaugurate Karachi development package phase II on Dec 15,0.018336652,
463,FBR poised to act against those named in Paradise Papers,0.018318921,
478,The Supreme Court still has some damning things to say regarding Panamagate,0.018149657,
582,Apex court says Hanif’s plea ‘counterblast’ to ex-PM’s ouster,0.017852657,
556,Social media mocks Bachchan over Paradise Papers,0.017770981,
1226,National Assembly legislation paves way for timely elections,0.016499313,
862,"Centre’s nod needed for effluent treatment plants in Karachi, judicial commission told",0.016480802,
1318,Crime and politics,0.016132776,
1933,Barca salvage draw at Valencia after Messi ghost goal controversy,0.015981762,
707,Sharjeel to challenge tribunal’s verdict in high court,0.015576645,
1453,Manchester clubs triumph again as United stars return,0.015216337,
17,"Govt to regularise 36,000 recruited through NTS in KP",0.015171349,
160,"City waste: SSWMB, KWSB among agencies blamed for not fulfilling duty",0.014869706,
1135,Why a curious TV interview in Riyadh proves Saad Hariri is desperate,0.01478864,
1681,Varun Dhawan gets in trouble with Mumbai police after taking selfie,0.014711414,
1687,Palestine bypass Israel in FIFA rankings for the first time,0.013327965,
363,"Sindh lacks capacity, not funds",0.013277654,
398,Pakistan must stop dragging its feet and put an end to child marriages,0.013090169,
394,America’s most powerful woman is losing her job,0.013083219,
1249,These banyan trees are proof of Pakistan’s roots in inter-religious peace,0.012999436,
446,Saudi stocks hit by political purge; Gulf feels the chill,0.012437328,
38,Pakistan ranked 147th in Doing Business report,0.012356298,
79,Supreme Court summons blasphemy convict’s psychiatric record,0.012172114,
1499,Syria ‘de-escalation zone’ sees civilians buried under rubble,0.011845499,
539,How Pakistani film music has declined over the decades,0.011707072,
456,Paradise Papers reveal how the wealthy are hiding their money,0.011395193,
378,Punjab to discuss smog remedial measures with centre on 15th,0.011321165,
470,Cement profits fall amidst rising sales,0.010945379,
287,"What’s acceptable, what’s not",0.010346375,
0,Oxfam dismisses 22 staff over sexual abuse,0,
1,Monster planet found orbiting dwarf star,0,
2,New Zealand aim to extend perfect T20 record against India,0,
3,‘Trans-Pacific members aim for good result next week’,0,
5,Witchcraft helped us win Test series: Chandimal,0,
7,Pick and stick with keeper: Gilchrist,0,
8,"Xi meets Zuckerberg, Cook in Beijing",0,
9,Opposition protest mars City Council proceedings in Karachi,0,
14,PIA leaves two coffins behind in New York,0,
16,"Availability of pure milk almost impossible, Senate body told",0,
18,Visas imposed on Qatar visitors,0,
19,Sri Lanka keen for early conclusion of China trade deal,0,
21,KSE-100 index slips to 13-month low,0,
22,"Couples to undergo thalassaemia, hepatitis voluntary screening before marriage in KP",0,
24,8 killed as truck driver plows through bike path in New York 'act of terror',0,
26,Pakistan told to pay Rs14 billion to nine power producers,0,
28,Prices of all petroleum products increased,0,
30,"Bitcoin hits $6,400 after CME says will launch futures",0,
35,"Vehicles, other equipment for US army reach Karachi",0,
37,SBP profit rises to Rs238bn,0,
39,FBR misses revenue collection target,0,
43,8 accused of torturing girl in Dera Ismail Khan remanded into police custody,0,
47,Man in Lahore jailed for 6 months for getting married without permission from first wife,0,
48,"Another actor accuses Kevin Spacey of sexual harassment, says more claims will come forward",0,
49,Mufti Qavi sent to jail on judicial remand in Qandeel murder case,0,
51,"Putin visits Tehran for talks on Syria, nuclear deal",0,
52,"New York attacker linked to IS, 'radicalised domestically'",0,
53,8 celebrity Halloween costumes that'll make you wish you hadn't gone as a witch again,0,
56,The legendary Ahmad Ali Khan,0,
57,"Lahore smog: EPD takes action against pollution-causing factories, vehicles",0,
58,The secret behind the remarkable success of snow leopard conservation in Pakistan,0,
59,Parsis: The makers of Karachi,0,
60,The smartest and dumbest social media posts on the Sharmeen Obaid 'harassment' controversy,0,
62,"As China aims for 'world-class army', Asia starts to worry",0,
64,Writer Amrita Pritam remembered on 12th death anniversary,0,
66,Lawmakers decide to form Ethics Committee for accountability of senators,0,
68,Lawsuit targets Trump's rollback of birth-control rule,0,
69,Japanese man killed 9 people in his flat over a two-month spree: media reports,0,
70,N. Korean state TV slams Trump as 'incurably mentally deranged' in run-up to Asia tour,0,
73,Hamas hands over Egypt border crossing to Palestinian Authority,0,
74,Teeli hopes to create relatable entertainment for Pakistan's urban youth,0,
76,"'I love my Pakistan job,' says coach Micky Arthur",0,
80,India rout New Zealand in Nehra’s swansong,0,
81,Pattinson set to undergo surgery,0,
82,"Iran, Russia can isolate US, says Khamenei",0,
83,UK minister resigns over harassment charge,0,
84,Hong Kong skyscraper sold for record $5.15bn,0,
86,Indian power plant explosion kills 16,0,
88,"Secretary, eight others indicted in land case",0,
90,"Software-based registration system in 21 hotels, guest houses initiated",0,
91,No exam fee be collected from govt school students: CM,0,
94,Orange Line train Rerouting impossible if court verdict adverse: LDA,0,
95,"Sikandar, Moor lead Zimbabwe’s fightback",0,
96,Apple aims to work its magic with iPhone X,0,
97,Fit-again Mathews available for India tour,0,
101,Tug of war between PTI leaders over rally credit,0,
105,India clears $3.2bn purchase of naval copters,0,
108,"RD on imported tiles, sanitary ware welcomed",0,
110,Pakistan Navy buying vessels for special operations from US company,0,
111,Construction of Layyah-Taunsa bridge okayed,0,
112,PM Abbasi rejects 40-page turnaround plan for PIA,0,
113,ECC approves Rs13.6bn bailout for national flag carrier PIA,0,
114,Insurance firms directed to follow anti-money laundering rules,0,
115,Prices rose 3.8pc in October,0,
116,Water shortage for Rabi crops surges to 36pc,0,
117,Stocks gain 836 points as buying at dips intensifies,0,
118,Parliamentary panel approves draft bill for delimitation of constituencies,0,
119,SC takes notice of dried up Katas Raj pond,0,
125,"There is no nice way of depicting issues like sexual harassment and rape, says Mahira Khan",0,
126,Shah Rukh Khan celebrates 52nd birthday in a small but beautiful farmhouse getaway,0,
128,Beyonce joins Disney's live-action The Lion King,0,
130,Erdogan ousts Turkey's mayors in hope of poll boost,0,
131,Condolences pour in following Dina Wadia's demise,0,
132,"Senators criticise 'involvement' of military, judiciary in country's politics",0,
133,Hayatabad Medical Complex thumbs its nose at health department,0,
134,"2,600 Sikh pilgrims from India arrive in Pakistan to celebrate Guru Nanak's birth anniversary",0,
135,"NAB raids Karachi Development Authority office, arrests director",0,
137,Pakistan dumps $21bn worth of water in the sea each year: IRSA,0,
138,This yoga instructor became a vet to treat Islamabad's injured stray animals,0,
140,Accountability court endorses NAB request to freeze Ishaq Dar's assets in Pakistan,0,
142,Priyanka Chopra makes it to Forbes' World's Most Powerful Women List 2017,0,
145,"Russian hacking went beyond US elections, tried to target 4,700 inboxes: AP Investigation",0,
146,"Hafeez's bowling action tested in England, report likely in two weeks",0,
147,"A music festival in Nepal brings artists from Pakistan, India and the Maldives together",0,
148,Japanese 'serial killer' said to be quiet child turned sex trade scout,0,
149,"Venezuela unveils 100,000 bolivar note, worth a few US Dollars",0,
150,"Explosion at Indian power plant kills 26, injures dozens",0,
151,Plea for open trial of Islamabad High Court judge referred to chief justice,0,
152,Chinese President Xi sends rare message to North Korea's Kim 'out of politeness',0,
155,Thousands of Palestinians protest on Balfour Declaration centenary,0,
158,British parliament: respected institution or ‘den of vice’?,0,
159,Sindh Assembly refuses to accept census results,0,
163,Her father's daughter,0,
166,Smoggy relations,0,
168,I Am Karachi music festival will kick off on November 11,0,
171,14 deportees taken into custody by FIA,0,
173,10 provocative exhibits at the Karachi Biennale that you must see right now,0,
174,Scientists discover hidden chamber in Great Pyramid,0,
182,Three injured in firing along Working Boundary,0,
184,Petrol sales rise despite cheaper CNG,0,
185,Balochistan to use solar power for tube wells,0,
187,Abbasi orders FBR to simplify tax return form,0,
188,"We are preparing for life without Stokes, says Bayliss",0,
189,"Moeen, Finn injured ahead of tour opener",0,
190,"PCB conditionally allows Inzamam to purchase T-10 outfit, work with Qalandars",0,
191,"Women must wait 217 years to earn the same as men, index says",0,
194,"PM urges oil, gas industry to raise its game",0,
195,Apple delivers higher profit as iPhone X launches,0,
198,Indian police arrest man over rape of 18-month-old girl,0,
201,Shaan hasn't changed his mind about Bollywood,0,
203,"Alec Baldwin admits he's been ""very sexist"" and has bullied women in Hollywood",0,
208,Italy seizes 50m euros worth of IS 'fighter drug',0,
210,PSL 3 draft to be held on November 12,0,
211,Indian police officers 'mocked' gang-rape victim,0,
213,Suu Kyi makes first visit to crisis-hit Rakhine as pressure mounts to halt army crackdown,0,
214,Harassment of women at work can't be tolerated: Ivanka Trump,0,
215,"Sufi traditions, a Sikh past and Islamic influences come together in a Christian shrine in Pakistan",0,
216,Preity Zinta remembers Quaid's daughter Dina as a 'spirited' personality,0,
217,Outgoing Twitter employee deactivates Trump's account,0,
219,US sends supersonic bombers over South Korea,0,
222,Eight people killed by landslide in Bajaur Agency,0,
223,Special report: The enduring vision of Iqbal 1877-1938,0,
224,PTI MNA claims targeted by 'propaganda campaign' on social media,0,
227,Spain detains Catalonia's separatist ex-ministers,0,
229,Smog not that alarming: govt,0,
230,QAU student on hunger strike shifted to Pims,0,
231,Ahmed Faraz’s stolen medals replaced with new ones,0,
232,KP govt bans Peshawar park’s handover amid controversy,0,
233,Strike threatened against biometric verification for pilgrims,0,
234,The curse of cheating,0,
235,Story Time: Spread happiness,0,
236,Experience: My trip to Disneyland,0,
237,Book review: The story behind the Green Lantern,0,
238,Cook-it-yourself: Crunchy oatmeal cookies,0,
239,Story Time: Bullies aren’t brave,0,
241,"Commissioner’s office demanded bribe against compensation sum, claims slain KU professor’s son",0,
242,Glaciers in Pakistan face new threat from highways’ black carbon,0,
243,Apple on course for $1 trillion valuation: analysts,0,
244,Story Time: Kindness wins hearts,0,
248,"Major power breakdown hits Punjab, Balochistan",0,
251,"Nadal pulls out of Paris Masters, participation in Tour finals in balance",0,
256,Cotton production rises 17.07pc,0,
257,Uptick in weekly inflation,0,
258,Cement capacity utilisation at 20-year high,0,
261,Website review: Stories made easy,0,
262,Regional Food Festival kicks off in Rawalpindi,0,
263,Story Time: The tale of a shoe,0,
265,Chatty 7-year-old 'Artificial Intelligence' boy granted residency in Tokyo,0,
266,US lawmakers seek to slap new sanctions on Myanmar military,0,
267,Kim portraits and death threats: Life at a North Korean school in Japan,0,
269,‘One Heart’ review: AR Rahman’s concert film is 80 minutes of musical goodness,0,
270,51 stolen vehicles recovered in 'largest ever' operation in Pakistan: Sindh Rangers,0,
271,'Monstrous' Messi to enter Barcelona's 600 club,0,
272,Lahore court suspends execution order of 'mentally challenged' murder convict,0,
273,Eight ingredients to ruin Pakistan’s ad industry,0,
274,Rangreza's latest track 'Bagiya' will end up on your mehndi playlists,0,
276,"Lebanon PM Hariri resigns, citing Iran's 'grip' on country and threats to his life",0,
278,Spain's most wanted: profile of ousted Catalan leader Carles Puigdemont,0,
279,White House approves report linking climate change to human activity,0,
280,Netflix fires Kevin Spacey amid sexual misconduct allegations,0,
281,The QAU strike explained,0,
282,Honda complaint fuels confusion,0,
284,"Every team member wants to contribute in victory, says Sarfraz",0,
286,"India hope to wrap up T20 rubber, NZ seek comeback",0,
290,Facebook ads reveal real Russian game,0,
292,Trump leaves for Asia with heavy domestic baggage,0,
293,It is rubbish to say I select my close mates in Test team: Steve Smith,0,
294,"Unemployment rate in US falls to lowest in 17 years, White House hails outcome",0,
295,Stress fracture sidelines Usman for lengthy period,0,
296,"Stoneman, Vince shine after Root, Cook fall cheaply",0,
297,NY marathoners undaunted by deadly truck attack,0,
298,"Outrage in Afghanistan over government's suspension of WhatsApp, Telegram",0,
299,May’s party suspends lawmaker over ‘serious’ allegations,0,
300,Power generation may decline after a temporary surge in Lahore,0,
302,"Smog thickens over Punjab, traffic disrupted",0,
303,"‘Judges, generals should not be excluded from accountability laws’",0,
304,Aussie batsmen hold key: McGrath,0,
306,China unveils island-building vessel,0,
307,PHF names squad for four-nation event in Australia,0,
308,Weather conditions force PIA to cancel 6 flights,0,
309,Bears lurk around global oil exports,0,
310,Measures to cut trade deficit on the cards,0,
311,Stocks recover in a roller-coaster week,0,
312,Techies brainstorm disruptive change,0,
313,Number of small borrowers rises sharply,0,
314,Journalist Hamid Mir booked in kidnapping case,0,
320,Trump urges Saudi Arabia to choose Wall Street for IPO of oil giant Aramco shares,0,
321,Police seek clerics’ help against honour killings,0,
322,Crouch earns Stoke share of spoils against Leicester,0,
323,ESSAY: THE ELIA PARADOX,0,
324,North Korea rules out negotiations as Trump heads to Asia,0,
325,COLUMN: WALKING IN KARACHI,0,
328,Suspect arrested for spreading bomb scare in SHC building,0,
330,"Sara Ali Khan’s debut film to hit theatres in December, 2018",0,
332,What does Lata Mangeshkar have to do with parenting? Everything,0,
333,"In Lebanon, ex-PM Hariri's resignation raises spectre of fresh war",0,
334,Thousands urge peace in anti-Trump protest in S. Korea,0,
336,Workers at Zara leave notes on clothes claiming fashion retailer has not paid them,0,
337,27 dead as Typhoon Damrey batters Vietnam,0,
338,'Kevin Spacey has set gay rights back',0,
339,"'No dictator' should underestimate US resolve, Trump says",0,
340,FICTION: CITY OF LOST CHILDREN,0,
341,NON-FICTION: REWRITING HOLY HISTORY,0,
342,NARRATIVE ARC: LITERARY REALISM AND BEYOND,0,
343,NON-FICTION: REPUBLIC OF RETIRED GENERALS,0,
347,Missile from Yemen intercepted near Riyadh airport,0,
348,"Saudi Arabia arrests princes, ministers in sweeping purge",0,
350,PFA asks honey dealers to ensure hygiene,0,
351,‘Bureaucracy not ready to accept local govt system’,0,
352,Private schools yet to start teaching regional languages,0,
353,"Shrinking options for low-risk, high-return investors in Pakistan",0,
354,Promising performance of large industries,0,
355,Banks’ assets fall by 0.17pc,0,
356,Narrow rupee-dollar parity,0,
357,Extractive tax policies discourage compliance,0,
358,Punjab should step up its tax game,0,
359,New approach to planning major projects,0,
360,Computing provincial wealth still a distant dream,0,
361,Going without a water policy,0,
362,Imposing ban on vanaspati ghee,0,
364,‘Made in China’ swamps Modi’s plans as backlash escalates,0,
365,Pricing oil in yuan may be next move in China’s currency ambitions,0,
366,Apple CEO breathes new life into old iPhones,0,
367,Eight killed in smog-related accidents,0,
368,Making transport easier in KP,0,
370,Rs7 levy on locally-produced LPG,0,
371,"Saudi purge worries investors, but may speed reforms",0,
373,Saudi prince killed in helicopter crash near Yemen border: state TV,0,
377,Two ‘facilitators’ in DI Khan girl’s stripping case arrested,0,
380,"Visa policy for Sikh pilgrims to be relaxed, says PTDC chief",0,
381,MBS: Reformist crown prince with firm vision,0,
382,NAPA highlights young storytellers with a weekend of 'dastangoi',0,
383,Smog forces PIA to revise flight schedule,0,
384,Juve survive scare to hand Benevento 12th straight defeat,0,
385,City sink Arsenal to continue winning streak,0,
386,"Sri Lanka axe Mendis, Silva for India Tests",0,
387,Harassment reports rock UK parliament as scandal spreads,0,
389,Saudi Arabia ‘imposed’ Hariri’s resignation: Hezbollah,0,
390,Queen Elizabeth’s estate invested in offshore funds: Paradise Papers,0,
393,Al Waleed: famed billionaire who has assets across globe,0,
395,Ranveer Singh's film on India's 1983 cricket World Cup victory set to release in 2019,0,
397,Karachi Biennale awards popular art prize to Shahzia Sikandar,0,
401,Jami Mahmood's Moor is now available on Netflix,0,
402,"Blaming Iran, Saudi says Houthi strike may be 'act of war'",0,
403,"Water shortage in country will continue till December, says minister",0,
404,It’s a crazy world: Ranveer Singh reacts to THAT Mahira-Ranbir photo,0,
406,2017 set to be hottest year: United Nations,0,
407,Parliamentary panel undecided over applicability of new accountability law on provinces,0,
412,PPP's Sharjeel Memon challenges arrest before accountability court,0,
415,Mind the gap,0,
419,Trump says time for 'patience' on N. Korea is over,0,
420,China adds two satellites to homemade global navigation system,0,
423,Sonya Hussyn will be challenging the patriarchy in TV drama Aisi Hai Tanhai,0,
425,South Korea announces sanctions against Pyongyang,0,
428,"Mir, Maroof lead Pakistan to maiden ODI victory against NZ",0,
429,Saudi king meets outgoing Lebanese PM Hariri,0,
431,The plight of animals in captivity,0,
440,"Mysticism effective tool to curb extremism, Bilawal tells audience as Bhitai urs ends",0,
442,"Woman throws acid on brother-in-law, taking him for her husband",0,
443,EU to discuss blacklist of tax havens after documents leaks,0,
444,Bono 'distressed' by links to Lithuanian tax avoidance claims,0,
445,Richard Morin appointed PSX chief,0,
447,Mourinho suffers more Stamford Bridge woe as Chelsea beat United,0,
449,Kumail Nanjiani and The Big Sick cast win at the Hollywood Film Awards,0,
450,Dhoni under spotlight as India meet NZ in decider,0,
451,Sindh CM approves Rs100m grant for Pakistan Hockey Federation,0,
455,Three confess to crime in girl’s stripping case,0,
458,Case filed against 5 men for assaulting girl at hotel in Karachi's DHA,0,
460,What's on the menu?,0,
465,"No shortage of drugs in country, minister tells Senate",0,
468,Three killed for ‘honour’ in Nasirabad,0,
469,"Govt proposes power tariff hike to clear Punjab, KP hydel profit dues",0,
472,Dividend disbursement through banks notified,0,
474,US president warns time for ‘patience’ on N. Korea is over,0,
475,"Purge of Saudi princes, businessmen widens",0,
476,Russia dismisses new revelations in the Paradise Papers,0,
477,Two daughters and sons-in-law,0,
479,The plight of an Indian fisherman's wife whose husband has been imprisoned in Pakistan for years,0,
480,Health emergency declared as smog blankets Indian capital,0,
481,"PAC questions CAA over grounded PIA planes, irregularities in Islamabad airport",0,
484,South Korea in talks with US to buy nuclear-powered submarines,0,
488,Indian court finds man guilty of raping elderly nun,0,
489,US says 'no evidence' of civilian casualties in Afghan operation,0,
490,"Yemen rebels threaten to target Saudi, UAE ports and airports",0,
494,JeM chief Masood Azhar's nephew killed in IHK operation: reports,0,
496,Bank of China begins operations in Pakistan,0,
497,'Death' of SUP leader’s son: custody of suspects handed over to Kotri police,0,
498,Saudi crown prince accuses Iran of 'direct aggression',0,
500,Japan's 'Black Widow' to hang for murder,0,
501,Danish Taimoor and Ayeza Khan welcome baby boy,0,
502,Charlie Hebdo gets fresh death threats over Islamic scholar cartoon,0,
504,SC debates grounds for disqualification of lawmakers while hearing Jahangir Tareen case,0,
506,"Oil surges as Saudi Arabia, Iran trade accusations",0,
507,SC dismisses request to suspend proceedings against IHC judge,0,
508,"Outgoing Lebanese PM Hariri leaves Saudi, meets Abu Dhabi crown prince in UAE",0,
509,Learning from the activists,0,
510,"'Paradise Papers' reveal offshore deals with Apple, others",0,
511,"Ironically, an absent man dominated female-centric play Mushk",0,
513,Parties' deadlock over census remains; Parliamentary Committee meeting ends inconclusively,0,
514,The fun never really ends,0,
516,A Saudi-orchestrated resignation throws Lebanon into turmoil,0,
517,‘Russia ban would be great loss to Olympic movement’,0,
518,Five tonnes of charas seized from truck in Karachi,0,
520,"Result of recently concluded census authentic, SHC told",0,
521,"Rs260bn motorway to burden people, Khursheed tells PM",0,
524,US seeks action against Iran after Saudis’ charge,0,
528,"KP govt lauded for ‘improvement’ in education, health sectors",0,
534,"Knee injury ends Finn’s Ashes tour, Moeen recovering",0,
535,Trade on both sides of LoC resumes after four months,0,
536,Crop quality fears haunt cotton market,0,
538,Uber Pakistan launches new features to facilitate drivers,0,
541,PAC grills aviation official over grounded planes,0,
545,Senate body seeks early notification of provisional census data,0,
547,Pakistan seeks China’s help to end smog-related power breakdowns,0,
549,Banking profits dip 2pc,0,
550,Sindh okays major projects under public-private partnerships,0,
551,BoP to make provisions for bad debt,0,
552,Stocks make meagre gains as volatility persists,0,
554,Indonesia recognises native religions in landmark ruling,0,
555,Trump claims progress in attempts to ‘rein in’ N. Korea,0,
557,AG ordered to respond to IHC judge's plea for open trial,0,
562,Verna's new music video hints at a power struggle between Mahira and Haroon,0,
563,"Tareen submitted forged documents before court, PML-N's lawyer claims",0,
565,Foodpanda will bring Pakistan's coolest food fest to Lahore,0,
566,Indian teenager kills schoolmate to postpone exams,0,
567,"What are Shaan, Humayun Saeed and Sarwat Gillani all doing in Turkey?",0,
569,"No record of Rs695mn spent during PTI, PAT protests, auditors tell PAC",0,
574,Myanmar rebuffs 'harmful' UN statement on Rohingya,0,
575,"5 bombs found near Jamshoro's Mehran University, defused",0,
576,Putin shuns Russian Revolution centenary,0,
577,Family dispute suspected in Texas church shooting,0,
578,UK politician found dead after misconduct claims,0,
579,Delhi has become a ‘gas chamber’: Kejriwal,0,
580,How ‘humanitarian technology’ can help deal with Rohingya crisis,0,
581,Tackling Lahore's smog will have to include the curbing of elite consumption patterns,0,
586,I know one word from me can make headlines: Mawra Hocane dishes on her journey to stardom,0,
587,"A year after cash ban, India's black money market is thriving",0,
588,"Iron Maiden frontman writes about bullying, cancer and flying in new autobiography",0,
589,A lesson to all men,0,
590,Trump warns North Korea's 'cruel dictatorship' against underestimating the US,0,
591,Germany’s top court requires legal option of ‘third gender’,0,
592,Indian teenager kills schoolmate to get exams postponed,0,
593,Scientists find sheep can recognise human faces,0,
594,Rouhani warns Saudi Arabia of Iran’s ‘might’,0,
595,UK minister quits after outcry over Israel visit,0,
598,UN clears Qatar in worker abuse probe,0,
599,US sets up fund against religious violence in India,0,
601,Woman’s body kept in house for days in Karachi,0,
604,Meter reading: Lesco to launch SMS,0,
605,The crisis of air quality in Lahore,0,
606,Firing by brother: FSc position holder fighting for life,0,
607,Farmers irrigating fields with MC’s waste water,0,
609,Two million pilgrims descend on Iraq for Arbaeen,0,
610,"Pakistan go top of T20 rankings, but NZ may regain status by year end",0,
611,What being 'bold' means for women,0,
612,World Bank lending to rich countries slammed,0,
613,Trump in China to talk trade and North Korea's 'cruel dictatorship',0,
617,Govt orders inquiry into Jamshoro power plant losses,0,
618,PTI sends defamation notice to ex-member Akbar S. Babar,0,
619,24 killed as bus falls into ravine near Chakwal,0,
620,Croatia need Modric back to his best for playoff against Greece,0,
623,KP seeks $200m loan for hydropower,0,
624,Oil companies threaten to move against Honda,0,
627,LHC takes notice of delay in tax recovery appeals settlement,0,
628,Stocks edge up as foreign buyers cherry-pick,0,
629,"Gas shortage overcome, new connections available: SSGC",0,
631,Japan and Pakistan — through the eyes of photographers,0,
632,"DSP, photographer testify in Mashal lynching case",0,
634,"Pakistan 7th most vulnerable country to climate change, says Germanwatch",0,
635,Did you know? Pakistani designer Natasha Kamal showed at Paris Fashion Week!,0,
636,CCI to meet on Monday to resolve delimitation crisis,0,
638,Japan's struggling Toshiba logs $436 million loss in first half,0,
639,Rahat Fateh Ali Khan has a new song out,0,
641,QAU students end protest after university restores expelled students,0,
642,Convergence and divergence of views,0,
643,Veteran intellectual Ibrahim Joyo passes away at 102,0,
644,Jennifer Aniston and Reese Witherspoon unite for a new TV series,0,
645,Karachi police arrest two MQM-affiliated suspected target killers,0,
648,Rs82bn found undetected in bank accounts of government departments in KP,0,
651,Sandhu's four-wicket over fails to help Pakistan win against New Zealand,0,
652,Smog & development,0,
653,Annual fee charged by private schools declared illegal,0,
656,America first? Global trade on the block as Trump heads to Apec,0,
657,A case for promulgating ethics education in Pakistani schools,0,
658,Everything I learned as a young woman using Careem's bike-sharing service,0,
662,Pakistan get worst-ever pounding from Aussies,0,
664,"The Faiz Festival will be a blend of music, theatre and art",0,
667,"Over 25,000 schools remain shut as smog envelopes India",0,
669,Trump urges China's Xi to work 'hard' and fast on N. Korea,0,
671,"Reports called from jailer, health secretary in Sharjeel Memon’s case",0,
672,Obituary: Ibrahim Joyo — committed to idealism,0,
673,"Biometric attendance system pushes ghost teachers  to seek early retirement, PA told",0,
675,Weakened May limps into delicate Brexit talks,0,
676,Smog receding due to check on local pollutants: govt,0,
678,Sindh Assembly berates federal minister for call to build Kalabagh dam,0,
680,No negotiations as govt rejects protesters’ demands in capital,0,
681,‘Domestic failures do reflect on foreign policy’,0,
683,Salman Toor mixes art with fiction,0,
687,Petitioner has to provide evidence for disqualification: SC says in Tareen's case,0,
690,Emergency in New Delhi as toxic smog thickens by the hour,0,
692,201 held in Saudi anti-graft crackdown,0,
693,World Bank projects Pakistan’s GDP growth rate at 5.5pc for 2017-18,0,
695,UN warns of mass famine in Yemen,0,
698,World Bank urges caution against regulatory duties,0,
699,Govt plans further dismantling of Discos,0,
700,Remittances rise to $6.4bn,0,
701,Pope stubs out cigarette sales in Vatican,0,
702,‘Govt hopeful about GSP+ extension’,0,
704,‘Women entrepreneurs contributing to economic growth’,0,
706,Italy face World Cup nightmare against Sweden,0,
708,"Sri Lanka much better team now, says coach",0,
709,Maxwell keen to shed X-factor label in search of Ashes spot,0,
710,PCB urged to include disabled cricket in constitution,0,
711,"Gepco, Sepco fined for poor performance",0,
712,27 Tableeghi Jamaat men laid to rest,0,
714,Chasing UAE property,0,
715,Only if it serves the state: North Korea's deep internet censorship and surveillance,0,
716,3 suicide bombers killed as Rangers foil 'terror attack' in Rohri,0,
718,10 tweets that show how bad the smog is in Lahore,0,
719,How South Asian music helped my identity formation as a British-Pakistani,0,
722,Disney plans new Star Wars trilogy and TV series,0,
723,Census commissioner rejects political parties' concerns,0,
725,"Two more cases lodged against religious leader Khadim Hussain Rizvi, others",0,
726,Authorities ask MSF to shut operation in Fata: aid group,0,
728,"Nation has high hopes from CII for 'Islamisation' of country's laws, says president",0,
729,LHC judge facing reference before SJC seeks open trial,0,
730,"'We think Lebanon's Hariri free to move around,' says French foreign minister",0,
731,Would you fancy an authentic shawarma from Karachi's new eatery Pita?,0,
732,UN to host first talks on use of 'killer robots',0,
733,"Saudi graft purge raises a few concerns, US closely monitoring probe: Tillerson",0,
734,Over 70 flights delayed at Lahore airport; thousands stranded,0,
737,"In a race against time, Ridley Scott cuts out Kevin Spacey from his latest film",0,
739,New cultural program Sarangi hopes to provide platform for Pakistani youth's musical skills,0,
740,The profession’s lone constant,0,
744,Mahira Khan drops 3 truthbombs about harassment in the workplace,0,
746,This child with a learning disability was expelled from school,0,
748,Supreme Court returns Imran Khan's petition challenging Elections Act 2017,0,
749,Asia being held hostage by 'twisted fantasies' of Kim Jong-Un: Trump,0,
751,Pandya rested for first two SL Tests,0,
752,Woakes spares England’s blushes with inspired burst,0,
753,"Neymar converts one penalty, misses another in Brazil stroll",0,
754,Anderson replaces Stokes as vice-captain,0,
755,BCCI rejects dope tests by national body,0,
756,Millions attend Arbaeen commemoration in Karbala,0,
757,Paralysed by phobias,0,
759,Rain likely to end smog  in Pakistan next week,0,
760,Celebrities with phobias,0,
761,Fit-again Hazlewood ready to blast out England,0,
762,Wonder Craft: Plastic bag dispenser,0,
764,UK panel rules Uber drivers have rights on wages,0,
766,"Hubco, Private Power and Infrastructure Board sign agreements",0,
770,‘Man sets girl on fire for rejecting proposal’ in Mandi Bahauddin,0,
772,Three BLA members sentenced to death for blast,0,
776,Freight rates increased by up to 64pc,0,
777,Upfront tariff for bagasse-run power plants cut,0,
778,Kapco puts Hubco share acquisition on hold,0,
780,"Sports goods manufacturers demand incentive package, ‘football village’",0,
781,Story Time: The midnight stranger,0,
782,Astonishing peaks,0,
784,"Winter rains likely to cut smog in Pakistan, says meteorologist",0,
786,"Once taboo, socialism finds comrades among US millennials",0,
787,Putin vows to retaliate for US actions against Russian media,0,
789,9 annoying things you're doing on social media that you need to stop right now,0,
