,head,topic_rep,Includes Hariri
67,Deepika has been reportedly paid more than Ranveer and Shahid in Padmavati,0,
68,Lawsuit targets Trump's rollback of birth-control rule,0,
70,N. Korean state TV slams Trump as 'incurably mentally deranged' in run-up to Asia tour,0,
71,PPP lashes out at NAB's 'double standards' in Sindh Assembly,0,
72,Man guns down sister in suspected 'honour killing' in Lahore,0,
73,Hamas hands over Egypt border crossing to Palestinian Authority,0,
74,Teeli hopes to create relatable entertainment for Pakistan's urban youth,0,
75,Bangladesh summons Pakistani envoy over video showing 'distorted historical facts',0,
78,An Indian man was arrested for posting abusive remarks about Modi in Facebook chat. Is this justified?,0,
79,Supreme Court summons blasphemy convict’s psychiatric record,0,
80,India rout New Zealand in Nehra’s swansong,0,
81,Pattinson set to undergo surgery,0,
82,"Iran, Russia can isolate US, says Khamenei",0,
83,UK minister resigns over harassment charge,0,
84,Hong Kong skyscraper sold for record $5.15bn,0,
85,Jailed Bahrain dissident chief charged with Qatar ‘spying’,0,
87,FBR barred from taking coercive steps against Rahat,0,
89,MQM-P vows to go ahead with  Nov 5 rally,0,
90,"Software-based registration system in 21 hotels, guest houses initiated",0,
91,No exam fee be collected from govt school students: CM,0,
92,"Shujaat, Pervaiz may visit NAB’s Lahore office on Nov 6",0,
93,Material against Hafiz Saeed presented in camera,0,
94,Orange Line train Rerouting impossible if court verdict adverse: LDA,0,
95,"Sikandar, Moor lead Zimbabwe’s fightback",0,
96,Apple aims to work its magic with iPhone X,0,
98,CIA releases vast Bin Laden archive,0,
100,Trump to terminate US visa lottery programme after New York truck attack,0,
101,Tug of war between PTI leaders over rally credit,0,
102,Khawaja Asif says his ministry not in control of foreign policy,0,
103,Maryam Nawaz says has right to offer ‘opinion’,0,
104,SECP set to freeze shareholdings of Sharif’s sons,0,
105,India clears $3.2bn purchase of naval copters,0,
106,US shares names of 20 terror groups with Pakistan,0,
107,Judges advised not to create a liability by interpretative techniques,0,
108,"RD on imported tiles, sanitary ware welcomed",0,
109,"Conversations close to the heart adorn walls in India, Pakistan",0,
111,Construction of Layyah-Taunsa bridge okayed,0,
112,PM Abbasi rejects 40-page turnaround plan for PIA,0,
113,ECC approves Rs13.6bn bailout for national flag carrier PIA,0,
114,Insurance firms directed to follow anti-money laundering rules,0,
115,Prices rose 3.8pc in October,0,
116,Water shortage for Rabi crops surges to 36pc,0,
117,Stocks gain 836 points as buying at dips intensifies,0,
118,Parliamentary panel approves draft bill for delimitation of constituencies,0,
119,SC takes notice of dried up Katas Raj pond,0,
120,"Nawaz Sharif returns to Pakistan, to appear before accountability court tomorrow",0,
121,Top cooperation body okays CPEC long-term plan,0,
122,The challenges of defining strict patient-doctor relations in Pakistan,0,
123,Top military brass review geo-strategic security environment in Corps Commanders Conference,0,
124,IHC accepts Nawaz's petition seeking clubbing of accountability references,0,
125,"There is no nice way of depicting issues like sexual harassment and rape, says Mahira Khan",0,
126,Shah Rukh Khan celebrates 52nd birthday in a small but beautiful farmhouse getaway,0,
129,Pakistan registers protest against Bangladesh's 'undiplomatic language',0,
131,Condolences pour in following Dina Wadia's demise,0,
132,"Senators criticise 'involvement' of military, judiciary in country's politics",0,
133,Hayatabad Medical Complex thumbs its nose at health department,0,
134,"2,600 Sikh pilgrims from India arrive in Pakistan to celebrate Guru Nanak's birth anniversary",0,
135,"NAB raids Karachi Development Authority office, arrests director",0,
136,IS executed 741 civilians during Mosul battle: UN,0,
137,Pakistan dumps $21bn worth of water in the sea each year: IRSA,0,
139,"India returns 13 Pakistani prisoners, including 2 women and girl born in captivity",0,
140,Accountability court endorses NAB request to freeze Ishaq Dar's assets in Pakistan,0,
141,Don’t destroy Thar,0,
142,Priyanka Chopra makes it to Forbes' World's Most Powerful Women List 2017,0,
143,"NY suspect says IS inspired attack, killings 'felt good'",0,
144,Three dead in Colorado Walmart store shooting: police,0,
146,"Hafeez's bowling action tested in England, report likely in two weeks",0,
147,"A music festival in Nepal brings artists from Pakistan, India and the Maldives together",0,
151,Plea for open trial of Islamabad High Court judge referred to chief justice,0,
152,Chinese President Xi sends rare message to North Korea's Kim 'out of politeness',0,
153,"13 killed as Turkish troops, Kurdish rebels clash near Turkey-Iraq border",0,
154,Turkey detains 283 suspected IS militants,0,
155,Thousands of Palestinians protest on Balfour Declaration centenary,0,
156,PML-N stops workers from receiving Nawaz Sharif at airport,0,
158,British parliament: respected institution or ‘den of vice’?,0,
159,Sindh Assembly refuses to accept census results,0,
160,"City waste: SSWMB, KWSB among agencies blamed for not fulfilling duty",0,
162,IS graffiti found on State Bank wall in Rawalpindi,0,
163,Her father's daughter,0,
165,"Sharif’s return has saddened opponents, says Maryam",0,
167,Selective accountability?,0,
168,I Am Karachi music festival will kick off on November 11,0,
169,Sharif family's accountability hearing adjourned until Nov 7,0,
170,Pakistan rated among most dangerous countries for journalists,0,
171,14 deportees taken into custody by FIA,0,
172,"Spanish judge jails Catalan ministers, mulls leader’s arrest",0,
174,Scientists discover hidden chamber in Great Pyramid,0,
175,Ousted PM gets VIP protocol on arrival in Islamabad,0,
176,"Security bodies role to continue in national interest, say commanders",0,
177,Quaid’s daughter Dina passes away in New York,0,
178,NA fails to pass bill seeking delimitation of constituencies,0,
179,"UK, UAE approached for evidence against Altaf",0,
180,"Girl born in Indian prison arrives in Pakistan with mother, aunt",0,
181,Court refuses to exempt Dar from personal appearance,0,
182,Three injured in firing along Working Boundary,0,
183,Change of govt in Islamabad won’t affect CPEC: China,0,
184,Petrol sales rise despite cheaper CNG,0,
185,Balochistan to use solar power for tube wells,0,
186,"Shell, Total, PSO fuel harms engines: Honda",0,
187,Abbasi orders FBR to simplify tax return form,0,
188,"We are preparing for life without Stokes, says Bayliss",0,
189,"Moeen, Finn injured ahead of tour opener",0,
191,"Women must wait 217 years to earn the same as men, index says",0,
192,"39 killed in clashes between Turkish troops, Kurdish rebels",0,
193,Cellular firm fined for blocking SIM,0,
194,"PM urges oil, gas industry to raise its game",0,
195,Apple delivers higher profit as iPhone X launches,0,
196,"2 Indian soldiers, 'militant' killed in IHK gun battle",0,
198,Indian police arrest man over rape of 18-month-old girl,0,
199,British High Commissioner summoned over 'malicious' anti-Pakistan slogans on London cabs,0,
200,"TTP facilitator apprehended, large caches of weapon seized in Balochistan: ISPR",0,
201,Shaan hasn't changed his mind about Bollywood,0,
202,Driver of ride-hailing company shot dead in Karachi,0,
203,"Alec Baldwin admits he's been ""very sexist"" and has bullied women in Hollywood",0,
204,Relatives of banned outfit leaders released from FC custody: Balochistan home minister,0,
205,Suicide attack kills 9 in Syria's Golan Heights village,0,
207,Dr Qibla Ayaz appointed new chairman of Council of Islamic Ideology,0,
208,Italy seizes 50m euros worth of IS 'fighter drug',0,
209,Capt Safdar's release on bail challenged by NAB,0,
210,PSL 3 draft to be held on November 12,0,
211,Indian police officers 'mocked' gang-rape victim,0,
212,Do Trump's tweets and outspoken comments affect the US legal system?,0,
214,Harassment of women at work can't be tolerated: Ivanka Trump,0,
215,"Sufi traditions, a Sikh past and Islamic influences come together in a Christian shrine in Pakistan",0,
216,Preity Zinta remembers Quaid's daughter Dina as a 'spirited' personality,0,
217,Outgoing Twitter employee deactivates Trump's account,0,
218,A prolonged role for Maryam,0,
219,US sends supersonic bombers over South Korea,0,
220,Musharraf’s legacy,0,
221,Iran denounces CIA 'fake news' in declassified Bin Laden files,0,
222,Eight people killed by landslide in Bajaur Agency,0,
223,Special report: The enduring vision of Iqbal 1877-1938,0,
225,Deepika and Abhishek will star in Sanjay Leela Bhansali's Sahir Ludhianvi biopic,0,
226,Institutions need to work within constitutional limits: Raza Rabbani,0,
227,Spain detains Catalonia's separatist ex-ministers,0,
228,Doctor booked on blasphemy charges in Gujrat,0,
231,Ahmed Faraz’s stolen medals replaced with new ones,0,
232,KP govt bans Peshawar park’s handover amid controversy,0,
233,Strike threatened against biometric verification for pilgrims,0,
234,The curse of cheating,0,
235,Story Time: Spread happiness,0,
237,Book review: The story behind the Green Lantern,0,
238,Cook-it-yourself: Crunchy oatmeal cookies,0,
239,Story Time: Bullies aren’t brave,0,
240,Crashes caused by smog claim 13 lives in Punjab,0,
242,Glaciers in Pakistan face new threat from highways’ black carbon,0,
244,Story Time: Kindness wins hearts,0,
245,8 Iran soldiers killed in clashes with 'terrorists',0,
246,Nawaz Sharif denies deal with establishment for his return,0,
247,"PM Abbasi, PPP leaders share flight to London",0,
249,Senate wants Quaid’s motto restored to original order,0,
250,Fears of election delay as National Assembly defers bill seeking delimitation,0,
251,"Nadal pulls out of Paris Masters, participation in Tour finals in balance",0,
253,SECP told to freeze shareholdings of ex-PM’s sons,0,
254,"President, PM condole with Quaid’s grandson over Dina Wadia's demise",0,
256,Cotton production rises 17.07pc,0,
257,Uptick in weekly inflation,0,
258,Cement capacity utilisation at 20-year high,0,
260,"Sought by accountability court, Ishaq Dar in UK hospital",0,
261,Website review: Stories made easy,0,
262,Regional Food Festival kicks off in Rawalpindi,0,
263,Story Time: The tale of a shoe,0,
265,Chatty 7-year-old 'Artificial Intelligence' boy granted residency in Tokyo,0,
266,US lawmakers seek to slap new sanctions on Myanmar military,0,
267,Kim portraits and death threats: Life at a North Korean school in Japan,0,
268,"Indian govt told to investigate 2,080 unmarked mass graves in held Kashmir",0,
269,‘One Heart’ review: AR Rahman’s concert film is 80 minutes of musical goodness,0,
270,51 stolen vehicles recovered in 'largest ever' operation in Pakistan: Sindh Rangers,0,
271,'Monstrous' Messi to enter Barcelona's 600 club,0,
272,Lahore court suspends execution order of 'mentally challenged' murder convict,0,
273,Eight ingredients to ruin Pakistan’s ad industry,0,
274,Rangreza's latest track 'Bagiya' will end up on your mehndi playlists,0,
275,Nisar urges political forces to work together for country's stability,0,
277,Ahsan Iqbal dismisses any possibility of martial law,0,
278,Spain's most wanted: profile of ousted Catalan leader Carles Puigdemont,0,
282,Honda complaint fuels confusion,0,
285,Jinnah’s daughter,0,
286,"India hope to wrap up T20 rubber, NZ seek comeback",0,
287,"What’s acceptable, what’s not",0,
288,Trump admin mulls returning N. Korea to list of terror sponsors,0,
289,"Year after arrests, Turkey’s pro-Kurd party weakened but defiant",0,
290,Facebook ads reveal real Russian game,0,
291,29 terrorism-related cases cleared to be sent to military courts: Ahsan Iqbal,0,
292,Trump leaves for Asia with heavy domestic baggage,0,
293,It is rubbish to say I select my close mates in Test team: Steve Smith,0,
295,Stress fracture sidelines Usman for lengthy period,0,
296,"Stoneman, Vince shine after Root, Cook fall cheaply",0,
297,NY marathoners undaunted by deadly truck attack,0,
298,"Outrage in Afghanistan over government's suspension of WhatsApp, Telegram",0,
299,May’s party suspends lawmaker over ‘serious’ allegations,0,
300,Power generation may decline after a temporary surge in Lahore,0,
301,Trump campaign adviser admits contacts with Russian officials,0,
303,"‘Judges, generals should not be excluded from accountability laws’",0,
304,Aussie batsmen hold key: McGrath,0,
305,Officials transferred for opposing  Fata healthcare outsourcing,0,
306,China unveils island-building vessel,0,
307,PHF names squad for four-nation event in Australia,0,
309,Bears lurk around global oil exports,0,
310,Measures to cut trade deficit on the cards,0,
311,Stocks recover in a roller-coaster week,0,
312,Techies brainstorm disruptive change,0,
313,Number of small borrowers rises sharply,0,
314,Journalist Hamid Mir booked in kidnapping case,0,
315,Imran praises judiciary for ousting Sharif,0,
316,"No need to make inquiry report on news leak public: Nisar
",0,
317,Rashid urges SC to take up his appeal in PML-N chief case,0,
322,Crouch earns Stoke share of spoils against Leicester,0,
323,ESSAY: THE ELIA PARADOX,0,
324,North Korea rules out negotiations as Trump heads to Asia,0,
326,NON-FICTION: THE EMPIRE WRITES BACK,0,
327,Imran asks people of Sindh to boycott corrupt 'elements',0,
328,Suspect arrested for spreading bomb scare in SHC building,0,
329,Shahbaz returns to Lahore after a week-long visit to London,0,
330,"Sara Ali Khan’s debut film to hit theatres in December, 2018",0,
331,"Paris terror attacks, two years on: what we know",0,
332,What does Lata Mangeshkar have to do with parenting? Everything,0,
334,Thousands urge peace in anti-Trump protest in S. Korea,0,
335,Six killed as Al Qaeda suspects hit Yemen security in twin suicide attacks,0,
337,27 dead as Typhoon Damrey batters Vietnam,0,
338,'Kevin Spacey has set gay rights back',0,
339,"'No dictator' should underestimate US resolve, Trump says",0,
340,FICTION: CITY OF LOST CHILDREN,0,
342,NARRATIVE ARC: LITERARY REALISM AND BEYOND,0,
345,Shah suggests polls on basis of old census,0,
346,Artificialness,0,
347,Missile from Yemen intercepted near Riyadh airport,0,
349,"Policy soon to resolve party rifts, Sharif tells aides",0,
350,PFA asks honey dealers to ensure hygiene,0,
351,‘Bureaucracy not ready to accept local govt system’,0,
352,Private schools yet to start teaching regional languages,0,
353,"Shrinking options for low-risk, high-return investors in Pakistan",0,
354,Promising performance of large industries,0,
355,Banks’ assets fall by 0.17pc,0,
356,Narrow rupee-dollar parity,0,
357,Extractive tax policies discourage compliance,0,
358,Punjab should step up its tax game,0,
359,New approach to planning major projects,0,
360,Computing provincial wealth still a distant dream,0,
361,Going without a water policy,0,
362,Imposing ban on vanaspati ghee,0,
363,"Sindh lacks capacity, not funds",0,
365,Pricing oil in yuan may be next move in China’s currency ambitions,0,
366,Apple CEO breathes new life into old iPhones,0,
368,Making transport easier in KP,0,
369,MQM-P demands fresh census to show ‘true population’ of Karachi,0,
370,Rs7 levy on locally-produced LPG,0,
372,At least 26 killed in shooting at Texas church: US media,0,
374,‘Paradise Papers’ expose ex-PM Shaukat Aziz’s offshore holdings,0,
375,"Army chief in Tehran, to meet Khamenei",0,
376,PTI wants polls before April to avert crisis over census,0,
379,PML-N huddle to deliberate on key issues today,0,
382,NAPA highlights young storytellers with a weekend of 'dastangoi',0,
383,Smog forces PIA to revise flight schedule,0,
384,Juve survive scare to hand Benevento 12th straight defeat,0,
385,City sink Arsenal to continue winning streak,0,
387,Harassment reports rock UK parliament as scandal spreads,0,
392,"Shujaat, Pervaiz to appear before NAB today",0,
394,America’s most powerful woman is losing her job,0,
396,Pakistan welcomes US mediation in easing tension with India: Khawaja Asif,0,
397,Karachi Biennale awards popular art prize to Shahzia Sikandar,0,
398,Pakistan must stop dragging its feet and put an end to child marriages,0,
400,IHC seeks copy of accountabilty court's order to release Capt Safdar on bail,0,
401,Jami Mahmood's Moor is now available on Netflix,0,
402,"Blaming Iran, Saudi says Houthi strike may be 'act of war'",0,
403,"Water shortage in country will continue till December, says minister",0,
404,It’s a crazy world: Ranveer Singh reacts to THAT Mahira-Ranbir photo,0,
405,National security advisor discusses Pak-Afghan relations with British high commissioner,0,
406,2017 set to be hottest year: United Nations,0,
407,Parliamentary panel undecided over applicability of new accountability law on provinces,0,
408,NA fails to reach consensus over bill seeking delimitation of constituencies,0,
409,Pakistani consulate staffer shot dead in Afghanistan,0,
410,Trump offers blanket support to Saudi rulers,0,
411,"Shujaat, Pervaiz Elahi appear before NAB to record statements in corruption reference",0,
412,PPP's Sharjeel Memon challenges arrest before accountability court,0,
414,Two policemen shot dead in Mardan,0,
415,Mind the gap,0,
416,"Saudi Arabia accuses Iran over missile strike, seals borders with Yemen",0,
417,China's military ordered to pledge total loyalty to President Xi Jinping,0,
419,Trump says time for 'patience' on N. Korea is over,0,
420,China adds two satellites to homemade global navigation system,0,
421,"'This isn't a guns situation, it's a mental health problem,' says Trump after Texas shooting",0,
423,Sonya Hussyn will be challenging the patriarchy in TV drama Aisi Hai Tanhai,0,
424,An inevitable crisis,0,
425,South Korea announces sanctions against Pyongyang,0,
426,Capital police seeks Rs70m grant to ensure peace during religious parties protest,0,
427,Rangers' deployment in Islamabad extended for 90 more days,0,
428,"Mir, Maroof lead Pakistan to maiden ODI victory against NZ",0,
430,Imran challenges Election Reforms Act 2017 in SC for being against Constitution,0,
432,"Amitabh Bachchan, Sanjay Dutt's wife named in Paradise Papers",0,
433,35 dead as Yemen hostage crisis comes to an end,0,
435,Blasphemy case against colleague: Doctors threaten strike,0,
436,Curfew imposed in border areas of Mohmand,0,
437,Three suspected IS militants arrested,0,
438,"Mobile firms start sharing customer data with FBR, Senate body told",0,
439,"PPP defends axing proposal to include judges, generals in accountability law",0,
440,"Mysticism effective tool to curb extremism, Bilawal tells audience as Bhitai urs ends",0,
441,Petition admitted against SBP governor’s appointment,0,
442,"Woman throws acid on brother-in-law, taking him for her husband",0,
443,EU to discuss blacklist of tax havens after documents leaks,0,
444,Bono 'distressed' by links to Lithuanian tax avoidance claims,0,
445,Richard Morin appointed PSX chief,0,
447,Mourinho suffers more Stamford Bridge woe as Chelsea beat United,0,
449,Kumail Nanjiani and The Big Sick cast win at the Hollywood Film Awards,0,
450,Dhoni under spotlight as India meet NZ in decider,0,
451,Sindh CM approves Rs100m grant for Pakistan Hockey Federation,0,
452,17-year-old girl commits ‘suicide’,0,
453,"Nawaz's counsel argues in favour of clubbing corruption references, court reserves judgement",0,
454,Sindh Assembly rejects PTI call to dissolve assemblies for early elections,0,
455,Three confess to crime in girl’s stripping case,0,
456,Paradise Papers reveal how the wealthy are hiding their money,0,
457,"Trump sees no link between guns and mass shootings, but others do",0,
458,Case filed against 5 men for assaulting girl at hotel in Karachi's DHA,0,
459,3 IS-linked militants arrested from Karachi's outskirts: SSP Malir,0,
461,Pakistan determined to expand ties with Iran: Bajwa,0,
463,FBR poised to act against those named in Paradise Papers,0,
464,"Model Town inquiry report a ‘dead document’, Punjab govt tells LHC",0,
465,"No shortage of drugs in country, minister tells Senate",0,
466,"US, Pakistan yet to overcome trust deficit: Khawaja Asif",0,
467,Mumbai attacks hurt Kashmir cause: ex-Pakistan foreign secretary,0,
468,Three killed for ‘honour’ in Nasirabad,0,
469,"Govt proposes power tariff hike to clear Punjab, KP hydel profit dues",0,
470,Cement profits fall amidst rising sales,0,
471,Pakistan National Shipping Corporation inducts two tankers,0,
472,Dividend disbursement through banks notified,0,
473,India seeks early start of Chabahar port operations,0,
474,US president warns time for ‘patience’ on N. Korea is over,0,
476,Russia dismisses new revelations in the Paradise Papers,0,
477,Two daughters and sons-in-law,0,
478,The Supreme Court still has some damning things to say regarding Panamagate,0,
480,Health emergency declared as smog blankets Indian capital,0,
481,"PAC questions CAA over grounded PIA planes, irregularities in Islamabad airport",0,
482,Afghanistan condoles death of Pakistani consulate staffer,0,
483,No change in China's policy towards Pakistan: Khawaja Asif,0,
484,South Korea in talks with US to buy nuclear-powered submarines,0,
485,"Monitoring judge, time bar will not influence trial, SC says in detailed Panamagate review judgement",0,
486,It's official: Zeb Bangash ties the knot!,0,
488,Indian court finds man guilty of raping elderly nun,0,
489,US says 'no evidence' of civilian casualties in Afghan operation,0,
490,"Yemen rebels threaten to target Saudi, UAE ports and airports",0,
491,Will not evade so-called accountability: Sharif,0,
492,"Iran agrees to enhance security cooperation, intelligence sharing with Pakistan",0,
493,"Information disclosed in 'leaks' cannot be certified, says revenue minister",0,
494,JeM chief Masood Azhar's nephew killed in IHK operation: reports,0,
495,"Nato to boost Afghan mission by 3,000 troops",0,
496,Bank of China begins operations in Pakistan,0,
498,Saudi crown prince accuses Iran of 'direct aggression',0,
499,At least 2 killed in attack on Kabul TV station,0,
500,Japan's 'Black Widow' to hang for murder,0,
501,Danish Taimoor and Ayeza Khan welcome baby boy,0,
502,Charlie Hebdo gets fresh death threats over Islamic scholar cartoon,0,
503,"Indian man jailed 27 years for funding Al Qaeda, plotting to kill US judge",0,
504,SC debates grounds for disqualification of lawmakers while hearing Jahangir Tareen case,0,
505,Bad blood,0,
506,"Oil surges as Saudi Arabia, Iran trade accusations",0,
507,SC dismisses request to suspend proceedings against IHC judge,0,
509,Learning from the activists,0,
510,"'Paradise Papers' reveal offshore deals with Apple, others",0,
511,"Ironically, an absent man dominated female-centric play Mushk",0,
512,Footprints: Home at last,0,
513,Parties' deadlock over census remains; Parliamentary Committee meeting ends inconclusively,0,
514,The fun never really ends,0,
515,US says no group will be allowed to attack Pakistan from Afghan soil: Janjua,0,
517,‘Russia ban would be great loss to Olympic movement’,0,
518,Five tonnes of charas seized from truck in Karachi,0,
519,Uproar in PA as opposition wants to highlight sugarcane growers’ woes,0,
520,"Result of recently concluded census authentic, SHC told",0,
521,"Rs260bn motorway to burden people, Khursheed tells PM",0,
522,Maryam reacts to Panama Papers judgment with guns blazing,0,
523,Shahbaz continues with biased accountability mantra,0,
524,US seeks action against Iran after Saudis’ charge,0,
525,PML-N wants elections on time: Nisar,0,
526,‘Japan is not against CPEC’,0,
527,KP police offer army to withdraw most troops from Malakand,0,
528,"KP govt lauded for ‘improvement’ in education, health sectors",0,
530,Axed Catalan leader urges separatist unity,0,
531,Johnson accused of jeopardising case of Briton in Iran jail,0,
533,Minister joins opposition in criticising financial institutions,0,
534,"Knee injury ends Finn’s Ashes tour, Moeen recovering",0,
535,Trade on both sides of LoC resumes after four months,0,
536,Crop quality fears haunt cotton market,0,
537,UK minister regrets meeting Israeli PM without permission,0,
538,Uber Pakistan launches new features to facilitate drivers,0,
539,How Pakistani film music has declined over the decades,0,
540,Nawaz Sharif disqualified over conduct unbecoming: Supreme Court,0,
541,PAC grills aviation official over grounded planes,0,
542,All parties oppose delay in 2018 elections,0,
543,PML-N Senator calls for accord against military interventions,0,
544,US acknowledged disruption in Taliban’s movement: foreign secretary,0,
545,Senate body seeks early notification of provisional census data,0,
546,Supreme Judicial Council defers reference against IHC judge,0,
548,"US still hopes to work with Pakistan, says Alice Wells",0,
549,Banking profits dip 2pc,0,
550,Sindh okays major projects under public-private partnerships,0,
551,BoP to make provisions for bad debt,0,
552,Stocks make meagre gains as volatility persists,0,
553,Committee shortlists candidates for SECP commissioners,0,
554,Indonesia recognises native religions in landmark ruling,0,
555,Trump claims progress in attempts to ‘rein in’ N. Korea,0,
556,Social media mocks Bachchan over Paradise Papers,0,
557,AG ordered to respond to IHC judge's plea for open trial,0,
558,Adnan Siddiqui's next is a period drama inspired by an Amrita Pritam novel,0,
559,US should stick to Iran nuclear deal: top EU diplomat,0,
560,"Haj, Umrah pilgrims move Supreme Court against new bio-metric verification procedure",0,
561,"'One manifesto, one symbol, one party': MQM, PSP announce plans for 2018 elections",0,
562,Verna's new music video hints at a power struggle between Mahira and Haroon,0,
563,"Tareen submitted forged documents before court, PML-N's lawyer claims",0,
564,Govt moves to cut down security provided to Panama JIT members,0,
565,Foodpanda will bring Pakistan's coolest food fest to Lahore,0,
566,Indian teenager kills schoolmate to postpone exams,0,
567,"What are Shaan, Humayun Saeed and Sarwat Gillani all doing in Turkey?",0,
568,PML-N questions Supreme Court's 'capacity to judge' in response to detailed judgement,0,
569,"No record of Rs695mn spent during PTI, PAT protests, auditors tell PAC",0,
570,Musharraf quick to welcome newly formed MQM-PSP alliance,0,
571,"Parliamentary leaders fail, once again, to agree on delimitation",0,
572,NA committee to investigate authenticity of IB's controversial 'monitoring list',0,
573,Interior minister grilled over NIC issued to slain Taliban leader,0,
574,Myanmar rebuffs 'harmful' UN statement on Rohingya,0,
576,Putin shuns Russian Revolution centenary,0,
577,Family dispute suspected in Texas church shooting,0,
579,Delhi has become a ‘gas chamber’: Kejriwal,0,
582,Apex court says Hanif’s plea ‘counterblast’ to ex-PM’s ouster,0,
583,Asia’s rich exposed in Paradise Papers,0,
584,"Court indicts Nawaz in 3 separate corruption references, rejects plea for clubbing NAB cases",0,
585,US charges five in Rolls Royce bribery probe,0,
586,I know one word from me can make headlines: Mawra Hocane dishes on her journey to stardom,0,
588,"Iron Maiden frontman writes about bullying, cancer and flying in new autobiography",0,
589,A lesson to all men,0,
590,Trump warns North Korea's 'cruel dictatorship' against underestimating the US,0,
591,Germany’s top court requires legal option of ‘third gender’,0,
592,Indian teenager kills schoolmate to get exams postponed,0,
593,Scientists find sheep can recognise human faces,0,
594,Rouhani warns Saudi Arabia of Iran’s ‘might’,0,
596,Travel chaos as Catalans demand leaders’ release,0,
597,Louvre Abu Dhabi opens after 10 years in the making,0,
598,UN clears Qatar in worker abuse probe,0,
599,US sets up fund against religious violence in India,0,
601,Woman’s body kept in house for days in Karachi,0,
602,SHC extends stay order on school fee increase till Dec 12,0,
603,Chinese doctors to perform 500 eye surgeries for free,0,
604,Meter reading: Lesco to launch SMS,0,
607,Farmers irrigating fields with MC’s waste water,0,
608,Appellate tribunal dismisses petitions of Sharjeel and PCB,0,
610,"Pakistan go top of T20 rankings, but NZ may regain status by year end",0,
611,What being 'bold' means for women,0,
612,World Bank lending to rich countries slammed,0,
613,Trump in China to talk trade and North Korea's 'cruel dictatorship',0,
614,Living Colours: ‘There is a new political equilibrium in Pakistan that is not very stable’,0,
615,"PTI, PPP lash out at strongly worded PML-N reaction to SC verdict",0,
616,Afghan govt orders probe into Pakistani official’s murder,0,
618,PTI sends defamation notice to ex-member Akbar S. Babar,0,
619,24 killed as bus falls into ravine near Chakwal,0,
620,Croatia need Modric back to his best for playoff against Greece,0,
621,Ex-CM concerned at closure of press clubs in Balochistan,0,
623,KP seeks $200m loan for hydropower,0,
624,Oil companies threaten to move against Honda,0,
625,Akhtar sees 1.4m people filing tax returns this year,0,
626,"SBP to get shares of agri bank, HBFC",0,
627,LHC takes notice of delay in tax recovery appeals settlement,0,
628,Stocks edge up as foreign buyers cherry-pick,0,
629,"Gas shortage overcome, new connections available: SSGC",0,
630,Pakistan rejects suggestions for new UN Security Council seats,0,
631,Japan and Pakistan — through the eyes of photographers,0,
632,"DSP, photographer testify in Mashal lynching case",0,
633,TLY chief Khadim Rizvi named in FIR for 'unintentional murder' of infant in Islamabad,0,
635,Did you know? Pakistani designer Natasha Kamal showed at Paris Fashion Week!,0,
636,CCI to meet on Monday to resolve delimitation crisis,0,
637,5 reasons activated charcoal should be a part of your skincare routine,0,
638,Japan's struggling Toshiba logs $436 million loss in first half,0,
639,Rahat Fateh Ali Khan has a new song out,0,
640,SC asks Jahangir Tareen to submit reply to points raised by AG about 'illegal' money,0,
641,QAU students end protest after university restores expelled students,0,
642,Convergence and divergence of views,0,
643,Veteran intellectual Ibrahim Joyo passes away at 102,0,
644,Jennifer Aniston and Reese Witherspoon unite for a new TV series,0,
645,Karachi police arrest two MQM-affiliated suspected target killers,0,
646,US envoy discusses regional security with army chief,0,
647,Farooq Sattar back as MQM chief after brief resignation stint,0,
648,Rs82bn found undetected in bank accounts of government departments in KP,0,
649,"Sepoy martyred, 5 terrorists killed in exchange of fire on Pak-Afghan border: ISPR",0,
650,LHC judge named in Panama Papers seeks open trial before Supreme Judicial Council,0,
651,Sandhu's four-wicket over fails to help Pakistan win against New Zealand,0,
653,Annual fee charged by private schools declared illegal,0,
654,SC accepts petition seeking suspension of police officers' bail in Benazir murder case,0,
655,Libor doubts creating ‘alarming’ practices,0,
656,America first? Global trade on the block as Trump heads to Apec,0,
657,A case for promulgating ethics education in Pakistani schools,0,
658,Everything I learned as a young woman using Careem's bike-sharing service,0,
660,Democracy’s path,0,
661,Hopes diminish for former PM,0,
662,Pakistan get worst-ever pounding from Aussies,0,
663,"There are no dream sequences between Deepika and Ranveer in Padmavati, says director Bhansali",0,
664,"The Faiz Festival will be a blend of music, theatre and art",0,
666,1 dead as explosion hits Afghanistan's Mazar-e-Sharif City,0,
668,Life of the party: How Altaf Hussain maintains support in Karachi,0,
669,Trump urges China's Xi to work 'hard' and fast on N. Korea,0,
670,AIG Hamid Shakeel among 3 martyred in Quetta blast,0,
671,"Reports called from jailer, health secretary in Sharjeel Memon’s case",0,
672,Obituary: Ibrahim Joyo — committed to idealism,0,
673,"Biometric attendance system pushes ghost teachers  to seek early retirement, PA told",0,
674,Turkish daredevil jumps from Istanbul’s Galata Tower in modern first,0,
675,Weakened May limps into delicate Brexit talks,0,
677,Trump’s limited appeal a warning sign for Republicans,0,
678,Sindh Assembly berates federal minister for call to build Kalabagh dam,0,
680,No negotiations as govt rejects protesters’ demands in capital,0,
681,‘Domestic failures do reflect on foreign policy’,0,
682,Maulana Tariq Jamil visits Nawaz,0,
