,dates,heads,texts
621,2018-01-01,‘Abducted’ woman tells reporters she embraced Islam,"MITHI: Nagarparkar police were on Sunday looking into the veracity of a telephonic conversation between some local reporters and a Hindu woman whose husband had lodged an FIR of her alleged kidnapping at the Nagarparkar police station a couple of days back. ,The woman, Kaisri Kolhi, using her personal mobile phone, told the reporters that she embraced Islam at the hands of Pir Mohammad Ayub Jan Sarhandi at his Gulzar-i-Khalil seminary [situated in Samaro town of Umerkot district] and adopted “Kulsoom” as her Islamic name on Dec 30. She said she had now contracted a freewill marriage. The Nikahnama was also sent to the reporters through Whatsapp.,Kaisri’s husband, Roji Kolhi, had lodged the FIR (62 /2017) on Friday stating that his 19-year-old wife, Kaisri Kolhi, was abducted from their house in Kothara village near Nagarparkar. ,Kulsoom named her [new] husband as Mohammad Ali Khoso, who along with a close relative of his, Ali Nawaz Khoso, was nominated as her kidnapper. Mohammad Ali Khoso also spoke to the reporters over his personal mobile phone and demanded protection for Kulsoom from her family and relatives. ,The woman said she had been in love with Mohammad Ali Khoso and made her best efforts to convince her family on the proposal but in vain. She said her parents forcibly married her off to Roji on Dec 4 but she left the house to contract a freewill marriage. ,Tharparkar SSP Ameer Saud Magsi told this reporter that the FIR would be quashed only when the couple satisfied a court of law with the relevant documents and recorded their statements. "
622,2018-01-01,Police suspect ‘political motive’ for knife attacks on women in Karachi,"KARACHI: A top police officer on Sunday hinted that the recent knife attacks on several women, particularly in the Gulistan-i-Jauhar and Gulshan-i-Iqbal areas, might have been carried out by elements pursuing their own political agenda. ,Additional Inspector General of Karachi Mushtaq Ahmed Mahar in his brief talk with Dawn said that “a political agenda behind the knife attacks on women was one of the possibilities being probed by investigators.” ,The city police chief added that the police investigators had got “significant clues” to the identity of the culprits involved in these attacks. ,Mr Mahar said efforts were under way to arrest the suspects who might have “fled to other parts of the country or abroad to avoid arrest”. ,The senior officer added that the police would be in a better position to say anything for sure about the actual motive for the culprits when they would be arrested and properly investigated. ,Almost two dozen knife attacks on women had taken place mostly in District East’s five police stations jurisdictions — Sharea Faisal, Gulistan-i-Jauhar, Gulshan-i-Iqbal, Aziz Bhatti and PIB Colony. ,Two more knife attacks on girls had taken place in Federal B Area of the central district and Saudabad locality of Korangi district, but the police investigators familiar with these attacks on Sunday told Dawn that they were not linked with the knife attacks on women in Gulistan-i-Jauhar and Gulshan-i-Iqbal. ,These knife attacks on women belonging to different backgrounds and age groups took place between September and October of 2017, which triggered fear and panic among residents, putting a question mark over the performance of law enforcers and effectiveness of the ongoing targeted operation in the metropolis. ,The police authorities set up different investigation teams belonging to various specialised units, who were also assisted by intelligence agencies, to capture the culprits. ,Dawn on Sunday talked to three senior police officers associated with the investigation of the knife attacks and all preferred not to be named. ,The police officers revealed that one team of investigators had detained three suspects while another team detained the fourth suspect. ,These arrests were made in Gulistan-i-Jauhar of District East and parts of District Central. ,During interrogations, the held suspects provided important clues to the police about the possible identity and motive of the culprits. ,All the four suspects told the same story to investigators. ,They revealed that ‘political elements’ were involved in those knife attacks. ,Regarding the motive for the attacks, the held suspects stated that some political elements wanted to revive the street ‘barrier system’ in the city, which was dismantled after the launch of Rangers-led targeted operation in 2013. ,The police sources said that the held suspects also disclosed that the political elements wanted to ‘activate the unit system’ after ‘revival’ of the barriers. ,However, a senior police officer familiar with those arrests told Dawn on condition of anonymity that all the four detained suspects were not “proper party workers”. ,They had been associated with the party in the past, but subsequently, they joined the world of crimes, added the officer. ,The officer recalled that following the knife attacks on women, a move was started by political elements to initiate a debate for reinstalling barriers on roads in the metropolis. ,“Honestly speaking, it is yet to be established with a degree of certainty that whether political elements were behind the knife attacks on women or just that they wanted to take undue advantage of this situation for the revival of the barrier system,” said the officer. ,The police officer said that as part of putting pressure on political elements, the district east police had also detained 50 political workers for interrogation who were subsequently released as knife attacks on women were ‘spoiling’ the gains made through the targeted operation. ,Earlier in his interview with a TV channel reporter, additional IG of Karachi Mushtaq Mahar pointed out that “three to four suspects” were involved in the series of knife attacks. And that there was a “political agenda” behind those attacks, said the city police chief without elaborating. ,Also without naming anyone, he said the police played a vital role in ending those knife attacks on women by sending a ‘strong message’ to those involved in that crime. "
623,2018-01-01,India may hand over Pakistani boy to border officials today,"LAHORE: India may hand over a 12-year-old Pakistani boy to Pakistani authorities at Wagah border crossing on Monday.,The boy with hearing and speech disabilities was arrested by Indian Border Security Force (BSF) for illegally entering India on May 17.,He was identified as Hasnain Javed, of Bhambay Jhugian, Lahore. He went missing on May 1 and a report was lodged by his family with the Shadbagh police on May 2.,Later, the family of the boy identified him after watching news on TV channels. They reported that a deaf and mute boy was arrested by BSF for entering India without legal documents on May 17 and was sent to Amritsar jail.,On Dec 19, an Indian Juvenile Justice Board had released the boy because he had completed his sentence for the offence of entering India without valid documents.,Later, this was conveyed to the Pakistan High Commission in New Delhi.,An official of the Child Welfare and Protection Bureau in Lahore told Dawn that the boy was released from jail by the Indian court.,He said the boy would be handed over to Pakistan Rangers at Wagah Border on Jan 1 (today).,He said they had received direction from the ministry of foreign affairs to complete all legal formalities for shifting the boy to his family.,He said they had also alerted the father of the boy."
624,2018-01-01,Mother of two allegedly killed by husband over 'honour' in Umerkot,"A mother of two minor children was allegedly killed by her husband in Sindh's Umerkot district on Monday, in what police suspect is a case of 'honour' killing. ,The man attacked the 30-year-old victim with a stick and kept hitting her until she died, police officials said. He did so after having suspicions about the woman's 'character'. ,The incident took place in Vehro village within the limits of Umerkot police station. ,The body of the slain woman was handed over to her relatives after an autopsy was performed at Civil Hospital Umerkot.,During a raid carried out after her death, police arrested the victim's husband. A first investigation report (FIR) was registered against the husband and two others on a complaint of Arjan Oad, the victim's brother, under relevant sections of the Pakistan Penal Code.,Scores of young women in Pakistan are still being murdered by relatives for bringing shame on their family, a year since new laws came into force aimed at stemming the flow of 'honour killings'.,The shocking murder of social media star Qandeel Baloch, allegedly by her brother in July 2016, turned the spotlight on an epidemic of murders in the name of honour and sparked a fresh push to close loopholes allowing the killers to walk free.,In October 2016, a joint sitting of both houses of parliament passed two key pro-women bills that had been pending assent for a long time.,The move at that time was cautiously hailed by women's rights activists. More than a year on, however, lawyers and activists say honour killings are still occurring at an alarming pace.,At least 280 such murders were recorded by the independent Human Rights Commission of Pakistan from October 2016 to June 2017 ─ a figure believed to be underestimated and incomplete.,The legislation mandates life imprisonment for honour killings, but whether a murder can be defined as a crime of honour is left to the judge's discretion.,That means the culprits can simply claim another motive and still be pardoned, according to Dr Farzana Bari, a widely respected activist and head of the Gender Studies Department at Islamabad's Quaid-i-Azam University."
625,2018-01-01,Police recover two girls 'kidnapped' from Darul Aman in Rajanpur,"Police on Monday claimed to have recovered the two girls who were , from a Darul Aman (a government-run shelter home) in Punjab's Rajanpur district.,Rajanpur City police station SHO Fiazul Haq Chaudhary told , that police have recovered both the girls from the residences of their relatives living in Sindh. He said one girl was recovered from Kashmore district, Sindh, who told police that she had left the Darul Aman on her own will. ,The other girl was recovered from Karachi and was being brought to Rajanpur, he added.,""If she also says that she left the Darul Aman on her own will then both the girls would be free to go."" ,Last week, Saba Zahra, the head of the Darul Aman, told police that unidentified kidnappers reportedly scaled the rear wall of the building and took away the two girls.,According to her statement to police, a security guard and a peon had been deployed at the premises, however, both were sleeping at the time of the alleged abduction.,Police had registered a case and launched a probe into the matter. Subsequently, Rajanpur Deputy Commissioner Ashfaq Ahmed took notice of the security breach at the Darul Aman and constituted an inquiry committee to fix responsibility of the matter.,One of the two girls, hailing from Muzaffargarh, was admitted to the Darul Aman a week ago on December 20, whereas the second, hailing from Kot Mithan, on December 23."
626,2018-01-01,"Constable killed, another injured after car rams into Lahore check post","One police constable was killed and another injured when a speeding car overran a check post they were manning in Lahore's Defence area on New Year's Eve. ,Mustansar passed away while being taken to the hospital, while Qasim remains under treatment at the Lahore General Hospital. ,The incident's First Information Report (FIR) states that constables Mustansar Hussain and Qasim, who had been on duty at a check post near Cavalry Chowk, had signalled a speeding car to stop, but it ended up hitting the two constables and critically injuring them. The driver of the vehicle had managed to flee after the incident, leaving his car behind, the report added.,The FIR has nominated the suspects for 'causing death without intention to cause harm' and 'causing harm by rash or negligent driving'.,CCTV footage of the incident showed the car running over two policemen after swerving from behind other stopped cars. ,Superintendent of Police (Investigation) Dr Anoosh Chaudhry said the prime suspect, Mohammad Saeed, had been driving a car owned by his friend Mustufa. Saeed has since been arrested. ,Mustufa, who was also present in the car when the incident happened, has not yet been arrested. "
627,2018-01-01,"2017 saw rise in murder, abduction cases in Rawalpindi","RAWALPINDI: The year 2017 saw an increase in murder, attempted murder, abduction of women, sexual assault and vehicle theft cases in the district of Rawalpindi. ,Police statistics showed that 235 people lost their lives and another 354 were subjected to murderous attempts compared to 225 murder and 318 attempted murder cases in 2016. In addition, 12 people were killed during robberies compared to 14 such cases in 2016. ,Meanwhile, 18,032 other cases were also registered. The citizens lost their property worth millions of rupees in armed robberies, burglaries and thefts. ,Around 600 cars and 589 motorcycles were stolen compared to 551 cars and 497 motorcycles taken away in 2016. Moreover, 68 motorcycles and 13 other vehicles were snatched at gunpoint compared to 55 motorcycles and 10 other vehicles snatched in 2016. ,In addition, 127 other vehicles were stolen across the district. The year also saw an increase in the theft of cattle as 77 cases were reported to the police against 63 in 2016. ,235 people were killed and 443 women abducted during the year ,As many as 131 people were kidnapped in addition to the abduction of 443 women and 62 rape cases compared to 401 abduction and 54 rape cases in 2016. ,Besides, 666 robberies, including one bank heist, 450 burglaries and 497 theft cases were reported to the police compared to 473 robberies, 437 burglaries and 493 theft cases during 2016. ,When contacted, City Police Officer Israr Ahmed Abbasi expressed satisfaction on the police performance. ,“The crime situation remained almost the same as last year. Anyhow, there was a downward trend in kidnapping for ransom and bank robberies.” , ,During the year, the Islamabad police arrested 4,450 criminals and recovered valuables worth over Rs400 million from them. A total 234 gangs were busted, 289 stolen vehicles and 122 motorbikes recovered while 851 proclaimed offenders were held. ,In a statement, the police claimed that despite several constraints, they remained successful against criminal elements during year and that a decline was witnessed in the crime rate. ,The citizens were not only protected from any terrorist activity but also effective security arrangements were introduced for their safety. ,Senior Superintendent of Police (operations) Sajid Kiani said the police arrested 4,450 criminals and recovered valuables worth more than Rs400 millions from them. He said 620 members of 234 gangs were also apprehended. The safe city project has been very helpful in checking crime and 608 cases were traced through this facility during the year. ,The SSP said 89 murders were reported in 2017 compared to 95 in 2016 while the number of robbery incidents in 2017 was 14 against 17 in 2016. A total of 272 cases of street crime and snatching valuables were reported in 2017 compared to 280 in 2016; 73 burglary cases in 2017 against 92 such cases in 2016 and 315 theft cases compared to 354 in 2016. ,He said a significant reduction of 46pc was witnessed in car lifting incidents as 148 vehicles were lifted in 2017 compared to 249 in 2016. Police busted 73 gangs involved in robberies while 116 gangs of burglars and 45 gangs of bike and car lifters were also busted during the year. ,Police also traced 15 cases of blind murder while 23 accused involved in these cases were also arrested. Search operations were conducted in various areas of Islamabad along with other law enforcement agencies and 2033 suspects were taken into custody for further investigations. Of them, 1,336 were allowed to go after verification while challans of remaining 697 people were submitted to courts. ,The SSP claimed that reporting rooms of the police stations had been upgraded on the directions of IGP Sultan Azam Temuri. Trained as well as educated officials have been appointed in the police stations. ,Likewise, he said, police pickets had been upgraded while security at the entry and exit points of the city also enhanced. ,He said human rights officers had been appointed in the police stations to ensure protection of rights of all segments of society."
628,2018-01-02,"SHC CJ orders police protection for Hindu rape victim, her family","KARACHI: The Sindh High Court chief justice directed the police on Monday to provide protection to a rape victim and her family in Kunri, Umerkot district.,Chief Justice Ahmed Ali M. Shaikh had taken a suo motu notice of the alleged rape of the woman, belonging to the Hindu community, by a man from an influential family last month, and ordered action against the culprit and sought a report from the police.,Umerkot superintendent of police Usman Ijaz Bajwa submitted a report before the SHC on Monday saying that the deputy inspector general of police (Mirpurkhas) had constituted a committee under his supervision. The committee included the sub-divisional police officer of Kunri and the Nabisar SHO to conduct fair and impartial investigations into the incident.,The report said the FIR of the incident was registered at the Nabisar police station under Section 376 (punishment for rape) of the Pakistan Penal Code and the suspect was arrested.,It further said that the medical examination of the victim, daughter of a farmer, was conducted at the Kunri taluka hospital and samples for a DNA test were also collected. It added that medical reports confirmed that the victim was subjected to a sexual assault and the investigation was under way.,The SP also informed the SHC that a show-cause notice had also been issued to the SHO concerned.,The chief justice directed the Mirpurkhas DIG and the Umerkot SP to provide security to the victim and her family., ,A judicial magistrate issued on Monday show-cause notices to the Rizvia Society SHO and an officer of the Khyber Pakhtunkhwa police for arresting a suspect without the permission of the authorities concerned and necessary documentations.,An ASI of the KP police produced Shakeel Ahmed before a judicial magistrate (central) and informed the court that the suspect was an absconder in a case of kidnapping of a woman in Abbottabad in 2006.,He submitted that the suspect was arrested within the Rizvia Society limits and asked for his transit remand. However, the police officer failed to produce documents when the magistrate asked him about the permission letter from the KP home department.,Subsequently, the court called the area SHO and asked him that how a man was arrested within his limits without proper documentations, and an entry about the arrest was also made in the daily dairy of the police station without checking required documents.,The magistrate came down hard on both police officers. At one stage he warned that they would be sent to prison and observed that the arrest of the suspect without documentations was illegal.,Releasing the suspect on personal bond, the magistrate issued show-cause notices to the SHO and ASI for arresting the suspect without permission from the authority concerned and documentations."
629,2018-01-02,"Mobile phone snatchings, motorbike thefts in Karachi increased in 2017","KARACHI: Snatching of mobile phones and theft of motorbikes registered an increase till Dec 28, 2017 as compared to the same period of the previous year. ,However, there had been a significant decrease in targeted killings, bomb-blast related terrorist activities, kidnapping for ransom and money extortion cases, which the law enforcers attribute to the ongoing operation in the metropolis since 2013. The data was prepared by the Karachi police and obtained by Dawn. ,Data collected by police from the Citizens-Police Liaison Committee (CPLC) showed an increase in the theft of two-wheelers to 23,190 this year, as compared to 22,535 in 2016 thus registering an increase of 2.91pc. However, snatching of two-wheelers on gunpoint decreased to 2,280 this year as compared to 2,516 in 2016 showing a fall of 9.38pc. ,Similarly, 16,232 mobile phones were snatched at gunpoint as compared to previous year’s 16,069, revealing a rise of 1.01pc in this category of street crimes. ,Meanwhile, snatching incidents of four-wheelers also decreased in 2017.,Only one incident of terrorism (bomb blast) took place in 2017 in contrast to the previous year’s three,As per the data, a total of 211 four-wheelers were snatched at gunpoint in 2017 as against 230 cars snatched in 2016, registering a decrease of 8.26pc. Moreover, theft of cars depicted a fall of 23.92pc last year. Some 1,183 four-wheelers were stolen as compared to 1,555 cars stolen in 2016. ,Barring an increase in mobile phone snatchings and theft of two-wheelers, the city police data demonstrated that the ongoing targeted operation in Karachi had left a significant impact on four major crimes — targeting killings, terrorism (bomb blasts), kidnapping for ransom and extortion. ,According to the figures around 22 people had fallen victim to targeted killings in 2017, as against killing of 45 people the previous year, depicting a fall of 51.1pc in this head of the crime. ,Crime data also revealed that 562 people were killed on account of personal, other vendetta and street crimes etc in 2017 as compared to 667 people murdered in 2016, showing a decline of 15.7pc. ,Police claimed that only one incident of terrorism (bomb blast) took place in 2017 in contrast to the the previous year’s three, portraying a decrease of 66.7pc in the category of terrorism. ,As regards to kidnapping for ransom, merely 13 cases were reported in 2017, though 21 such cases were registered in 2016, presenting a drop of 38.1pc in this crime. ,Similarly, 116 cases of extortion were reported at various police stations last year round as compared to 160 cases in 2016, demonstrating a reduction of 27.5pc in this crime ,Additional Inspector General Police Karachi Mushtaq Ahmed Mahar told Dawn that the overall law and order had improved significantly in the metropolis. However, he admitted that more was needed to control street crimes, particularly with the help of technology. ,Though police had enhanced patrolling and picketing, installation of hi-tech CCTVs were required to further curb street crimes. Moreover, controlling street crimes also required standardised number-plates in vehicles and installation of trackers, especifically in motorbikes. ,Another issue which police faced in curbing street crimes was traffic jams partly caused by the ongoing development works. ,Mr Mahar said they had brought the matter before the concerned authorities that either the development work should be completed at the earliest, or it be carried out at night to avoid traffic jams. ,The city police chief believed that most of the street crimes were carried out during traffic jams between 5pm to 11pm, mostly by people living in adjoining slum areas. ,He said police was facing shortage of resources as several areas/spots had been identified for installation of CCTVs recently but the police, so far, could install only two CCTVs one at the Submarine roundabout in Punjab Colony and the other at Tipu Sultan Road that too, with the assistance of the citizens. ,Besides, 22 CCTVs had been put in place by Ismailis, Bohras and businessmen as part of their neighbourhood watch, hence lowering the crime there. ,Mushtaq Mahar said that there was also the manpower scarcity besides the resource shortage. ,Recalling security cover to polio workers every month, he said that around 8000 to 9000 security personnel carried out their duties to provide protection to polio workers. Besides, as many as 17 mega events were handled and peacefully guarded by police round the year. ,CPLC Chief Zubair Habib had also observed a downward trend in all major crimes except theft of motorbikes. He said that the issue had been taken up in the Apex Committee meeting. Subsequently, three meetings were held by the home minister with all stakeholders present, including the CPLC. ,It was also decided in principle that legislation would be introduced to make installation of trackers in motorbikes as ‘mandatory’ and registration of bikes won’t be done without it. Besides, number plates would also be installed on the front of the two-wheelers."
630,2018-01-02,Investigating officer issued show-cause notice in teenage girl’s murder case in Karachi,"KARACHI: A judicial magistrate issued on Monday a show-cause notice to an investigating officer for his unexplained absence and failure to file an investigation report in a case pertaining to the murder of a teenage girl.,Police have , with her fiancé for allegedly killing her 16-year-old sister during what the , in her home on Dec 5 in a Malir locality while two young men, brothers, were also held for abetment.,On a previous hearing, the detained girl and her fiancé had also recorded their confessional statements before a judicial magistrate (east). The magistrate had directed the investigating officer to file the investigation report at next hearing.,However, when the case came up for hearing on Monday, the IO was found absent and the court issued a show-cause notice to him with the direction that he come on Jan 8 with a reply over his unexplained absence and failure to file a report.,The detained girl had admitted that she had killed her sister as the victim was blackmailing her while her fiancé said that he and the female suspect slit the victim’s throat.,Police said the teenage girl had, with the help of her fiancé, allegedly orchestrated the murder of her younger sister as the victim had friendship with one of the detained brothers. She allegedly helped both brothers to visit her home in the absence of their parents and to blackmail the female suspect.,Initially, the FIR was lodged under Sections 397 (dacoity or robbery with attempt to cause death or grievous injury) and 34 (common intention) of the Pakistan Penal Code on a complaint of the deceased’s father at the Saudabad police station.,According to the FIR, two men broke into the house for robbery, stabbed the teenage girl to death for putting up resistance and took away cash, jewellery and other valuables.,However, the IO replaced Section 397 with Sections 302 (punishment for premeditated murder), 376 (punishment for rape) and 109 (abetment) of the PPC in the remand papers."
631,2018-01-02,"India repatriates deaf, mute Pakistani boy after seven months","India on Monday handed over a 12-year-old Pakistani boy to Pakistani authorities at Wagah Border crossing.,The boy with hearing and speech disabilities was arrested by Indian Border Security Force (BSF) for illegally entering India on May 17 last year, ,.,Hasnain Javed, of Bhambay Jhugian, Lahore had gone missing on May 1 and a report was lodged by his family with the Shadbagh police on May 2.,Later, the family of the boy identified him after watching news on TV channels. They reported that a deaf and mute boy was arrested by BSF for entering India without legal documents on May 17 and was sent to Amritsar jail.,On Dec 19, an Indian Juvenile Justice Board had released the boy because he had completed his sentence for the offence of entering India without valid documents.,Later, this was conveyed to the Pakistan High Commission in New Delhi.,A Pakistani consular official accompanied the child to the Wagah Border, where Pakistan Rangers received him and handed him over to his family.,An official of the Child Welfare and Protection Bureau in Lahore earlier told , that the boy was released from jail by the Indian court.,He said they had received direction from the ministry of foreign affairs to complete all legal formalities for shifting the boy to his family.,The boy was being held at a rehabilitation centre after being released from the jail."
632,2018-01-02,8 suspects taken into custody for questioning in Lahore traffic constable's hit-and-run death,"Police have taken into custody eight suspects they believe to be connected to the killing of one , and injuring of another in a hit-and-run incident in Lahore's Defence area on New Year's Eve, , reported on Tuesday.,Police had already taken the prime suspect in the case, Mohammad Saeed, in custody on Monday. It is believed that Saeed had been over-speeding when he lost control of the vehicle and overran a check post manned by constables Mustansar Hussain and Qasim. ,The vehicle itself belongs to one Mustufa, who is reported to be Saeed's friend. He is among the eight suspects taken into custody for questioning.,The incident's First Information Report (FIR) states that constables Hussain and Qasim, posted on duty near Cavalry Chowk, had signaled a speeding car to stop, but it instead ended up hitting the two constables and critically injuring them. The driver of the vehicle had fled after the incident, leaving the car behind, the report said.,According to the police, there were two people in the car when the incident occurred.,Constable Hussain passed away while being taken to the hospital, while Qasim remains under treatment at the Lahore General Hospital.,The FIR has accused the suspects of 'causing death without intention to cause harm' and 'causing harm by rash or negligent driving'. "
633,2018-01-03,"Terror, murder sections added to constable killing case in Lahore","LAHORE: Adding terror and murder sections to the case, the police arrested on Tuesday the three people who had allegedly rammed the car into a police checkpoint in Defence, , late on Sunday. ,Investigations into the shocking incident concluded that an employee of the car’s owner was driving it at the time of the crash. ,The constable, Mustansar Hussain, was killed and Qasim injured when the speeding car overran the barriers on Khayaban Road in Defence on Sunday night. ,The Lahore capital city police officer has directed the police officers to send a request to the inspector general to declare Mustansar Hussain a martyr.,Senior Superintendent of Police Mubashar Makken said they had arrested Mustafa Munir, his employee Saeed and friend Taha. They all were present in the car at the time of the crash. ,He said Saeed had already been taken into custody from the spot shortly after the incident. “Saeed was driving the car while Mustafa and Taha were on passenger seats,” he said. ,He said it had yet to be determined if Saeed was a driver or accountant with Mustafa. He said the police on Tuesday added six more sections - 302, 324, 353, 109 and 114 - of the Pakistan Penal Code and 7-Anti-Terrorism Act to the case to take the culprits to a logical end. ,Earlier, the Defence police had nominated in the FIR the suspects for ‘causing death without intention to cause harm’ and ‘causing harm by rash or negligent driving’. ,A source said that Mustafa’s father, Mian Munir Ahmad, was also interrogated in the case. Cantonment Division investigation SP Dr Anoosh Masood Chaudhry said that Munir had nothing to do with the incident. ,She said after questioning him for sometime, the police allowed him to go home. She said the police were preparing the case to take it to the court."
634,2018-01-03,Man throws acid on wife in Multan after dispute over second marriage,"A man allegedly threw acid on his wife in Multan on Tuesday following an altercation over his second marriage, police said.,The woman was returning home after visiting the shrine of Sufi saint Hazrat Shah Rukn-i-Alam at Qila Kohna Qasim Bagh when her husband allegedly threw acid on her and fled the scene. ,The woman suffered serious burn injuries on her arm and shoulder. She was shifted to Nishtar Hospital by rescue officials where she is said to be in a critical condition. ,Police reached the site of the incident and collected evidence.,According to a police official, the victim's husband had contracted a second marriage two days ago and the couple had been quarrelling over the matter. Police are making efforts to arrest the suspect. ,According to a World Health Organisation report, acid violence against women in Pakistan is increasing at an alarming rate, particularly in the southern part of Punjab. It says 450 gender-based acid violence incidents occur in the country every year and a majority of the cases remain untraced.,Acid violence in Pakistan came to global limelight after filmmaker Sharmeen Obaid-Chinoy’s documentary ‘Saving Face’ received an Oscar award in 2012."
635,2018-01-03,Former Taliban hostage Boyle arrested for 15 charges including assault,"A Canadian man who was held captive by a faction of the Afghan Taliban for five years has been arrested on 15 charges including sexual assault, illegal confinement and issuing death threats, according to reports on Tuesday.,Joshua Boyle was freed by the Pakistan Army in October along with his American wife Caitlan Coleman and their three children born in captivity.,The identity of the alleged victim was being withheld by a court, according to Boyle's lawyer Eric Granger.,Granger added his client was “presumed innocent” and had never been in any form of legal trouble before.,“We look forward to receiving the evidence and defending him against these charges,” he said, adding Boyle would appear before a court in Ottawa on Wednesday.,According to news channel ,, Boyle is facing eight counts of assault, two counts of sexual assault and two counts of unlawful confinement, as well as one each of misleading police to “divert suspicion from himself,” uttering a death threat, and administering a noxious substance, Trazodone., say the alleged offences occurred in Ottawa between Oct 14 and Dec 30. ,In a statement to the ,, published on the newspaper's website, Boyle's wife would not comment on the specific charges.,""I can’t speak about the specific charges, but I can say that ultimately it is the strain and trauma he was forced to endure for so many years and the effects that that had on his mental state that is most culpable for this.,""Obviously, he is responsible for his own actions... but it is with compassion and forgiveness that I say I hope help and healing can be found for him. As to the rest of us, myself and the children, we are healthy and holding up as well as we can."",Boyle and Coleman, who have been married since 2011, were kidnapped by the Taliban during what they described as a backpacking trip through war-torn Afghanistan in 2012, and were later transferred to the custody of the Haqqani faction.,They were freed on October 12, but refused to board a US military plane.,Boyle, a Muslim convert and long-time advocate of freed Guantanamo inmate Omar Khadr, cited fears over his background.,Upon his arrival in Toronto two days later Boyle accused his captors of raping his wife and killing his baby daughter, a fourth child ─ allegations swiftly refuted by the Taliban's spokesman Zabihullah Mujahid.,Mujahid admitted a baby had died but said it was a result of a natural miscarriage.,A month later Coleman also spoke of a sexual “assault” by two of her captors in an interview with ABC news.,Boyle has been an outspoken advocate for Omar Khadr, a Canadian captured at the age of 15 in 2002 in Afghanistan and held at Guantanamo Bay before being transferred to Canada and later released. He married Khadr's sister in 2009."
636,2018-01-03,This incident is an affront to humanity: Senators hear details of DI Khan girl's abuse,"A girl who was allegedly , last year appeared before the Senate Standing Committee on Human Rights on Wednesday, where she was asked to recount the distressing details of abuse she had suffered.,The 16-year-old told the committee, chaired by Senator Nasreen Jalil, that she had been stripped and humiliated and a video was also recorded of her abuse. ,A relative of the victim, Saifullah informed the Senate committee that local police had tried to distort the case lodged by the girl's family. He said the police had registered a fake case against the girl's family members on instructions of the accused suspects. ,Editorial: ,Sharing details of the gruesome act, Saifullah said a pair of scissors had been used to tear the clothes worn by the teenage girl. ""She was pulled by her hair and forced to parade naked in the street,"" he added.,Saifullah alleged that four similar incidents had occurred in the same union council in the past as well, but they were all covered up.,The members of the committee noted with concern that the prime suspect in the case, Sajawal, is still on the run. ,""This incident is an affront to humanity,"" said Senator Sehar Kamran.,She advised that the court should be requested to announce its verdict in the case on an early basis, adding that the court should hear the matter on a day-to-day basis.,Police officials informed the committee that the statements of seven suspects arrested in the case have been recorded and the weapons used in the incident have also been recovered. They assured the Senate committee that the culprits in the case would be punished. ,Senator Farhatullah Babar questioned who was providing security to the victim when the ""SHO [station house officer] has been communicating with the prime suspect over telephone?"".,He alleged that the police has been protecting the prime accused in the case.,The committee decided to approach the Supreme Court's Human Rights Cell in order to take the case to its logical conclusion. ,The incident came to light in November last year when the girl ,, narrating the chilling account of what happened to her on Oct 27 at her village Garamat in DI Khan and how the local police supported the suspected culprits by twisting facts in the first information report.,In the petition, she claimed that that around two years ago, her brother Sajid was accused of gifting a cellphone to a female relative of Sajawal’s family and that the issue was placed before a punchiat (jirga) of Garamat village in Daraban tehsil, which was presided over by tehsil Nazim Mooni Khan.,The girl said that before the punchiat was held, her brother had denied the charges and offered to take an oath, yet the punchiat imposed a fine of Rs500,000 on Sajid.,She added that the fine was reduced to Rs300,000 when Sajawal had kicked her mother before the punchiat.,The petitioner said on October 27, she along with other females of neighbouring houses went to fetch water from a water pond at around 2pm and that on her way home, she was passing nearby the residence of Sajawal and Sanaullah when the accused — including Sajawal and his brother Shahjehan, Nasir and Aslam sons of Faizu, Sanaullah — and others came out.,She claimed that the accused forcibly took her inside the house, tore her clothes and took her dupatta away. The girl added that she was later paraded naked in the streets, while a person caught the incident on camera.,She alleged that the suspected culprits carrying weapons later threw her outside her house naked.,The girl said initially, the local police didn’t cooperate with her family members and even refused to register FIR but did it only after the local people protested.,She said before registering FIR of the incident, the local police had booked her brother and uncle in a concocted case to pressure the family not to pursue the present case.,In the petition, the girl alleged that the local police supported suspects by twisting facts in the FIR.,In the initial FIR, the police had only mentioned that the girl was taken inside a residence and beaten and was not paraded in the streets."
637,2018-01-04,Child found strangled after rape in Sherakot,"LAHORE: An eight-year-old boy was allegedly sexually assaulted and strangled in Sherakot here on Wednesday. ,The minor was found dead in an under-construction quarter, half a kilometre from his Yusuf Nagar house. A local had spotted his body which was covered with a piece of cloth. ,Initial police inquiries said the boy was playing in the street outside his house with his friends on Tuesday afternoon. When he did not return home until the evening, the family got worried and started looking for him. But they failed to find him till late night and later alerted Sherakot police fearing the boy might have been kidnapped. ,Iqbal Town Division Superintendent of Police (SP) Umar Farooq told Dawn on Wednesday that a local spotted the body of the boy and informed police. Police teams visited the crime scene and according to their initial investigation the boy was sexually assaulted and later killed to conceal the crime. ,Farooq said police started an investigation and questioned locals, but found no clue to reach the culprit. He said there was only one CCTV camera outside a factory between the house of the boy and the quarter where his body was found. Nothing significant was found in the CCTV footage, he said, adding that some police informers were fielded in the area to glean maximum information to trace the culprits. ,The SP said the body had been shifted to the city morgue for autopsy and further investigations were under way."
