,head,topic_rep,0.43: Kashmir
10765,Israeli Jew's Instagram account suspended after Muslims protest photo at Masjid-i-Nabawi,0.068653017,
19336,"Next Pakistan-India generations must have a future of hope, says ambassador",0.068649158,
25,Pakistan still on radar of terror financing watchdog,0.068621188,
3535,Mosques speak out in Indian city to stop sale of brides to Arab men,0.06860964,
20700,"PHC clubs Mashal verdict appeals, orders hearing in Peshawar
",0.06853272,
13828,"Darkly, through a decade of disquiet",0.068498634,
8701,Catalan leader declines to call poll to ease standoff with Madrid,0.068479754,
4673,Indian regulator calls for new ways to manage foreign inflows,0.06838467,
12541,Pakistan rejects 'unfounded' allegations made in Trump's first foreign policy,0.068359472,
19249,"‘Bringing India to negotiating table is only sensible option for regional peace,’ says expert
",0.068324313,
6556,Spanish PM says 'rule of law has prevailed' after 350 injured in Catalonia,0.068266504,
18448,‘Strong voice of Asma is missed amid manoeuvring for Senate chairmanship’,0.068265542,
13156,Blame game over Benazir,0.068253532,
6136,Senate panel briefed on Pakistan-India water talks,0.068238482,
23459,"Nawaz comes under fire in Senate for Mumbai attack remarks
",0.068176441,
11189,"PTI workers wanted to join the Faizabad sit-in, says Imran Khan",0.068131931,
2414,PU signs MoU with Chinese varsity,0.068081595,
10181,Lawyer who defended ‘Lady Chatterley’ dies,0.068005197,
17018,New choices,0.067984261,
3420,NON-FICTION: THE DESIRE FOR ‘MARTYRDOM’,0.067828484,
7099,"SRK's Hindi version of Ted Talks hopes to offer ""lifelong learning"" to Indian viewers",0.067819223,
14790,Twitter to notify users exposed to Russian propaganda during US elections,0.067770258,
13299,FICTION: ECHOES OF THE PAST,0.0677559,
7955,Serious rights concerns persist in Pakistan: EU,0.067712933,
23511,"Senate panel decries PTV’s live coverage of ex-PM
",0.067638181,
4863,"Three ‘RAW agents’  get bail in anti-state acts, illicit weapons cases",0.067600898,
24641,"It’s never too late to learn from mistakes
",0.067590982,
17274,Behind-the-scenes diplomacy with US continuing: FO,0.067534372,
14019,Chaudhry Virk appointed law minister,0.067475177,
19137,‘US actions threaten WTO’s credibility’,0.067406774,
12181,Salman Khan's Tiger Zinda Hai not cleared for Pakistan screening by CBFC,0.067387305,
9253,British High Commissioner summoned over 'malicious' anti-Pakistan slogans on London cabs,0.067251198,
23984,"Pakistan, World Bank resume talks to settle water dispute with India
",0.067246087,
22209,"Politician of Pakistani descent appointed Britain's new home secretary
",0.067174777,
6955,Sharmeen Obaid's 'A Girl in the River' wins best documentary at the Emmys,0.067090929,
24161,"Historic building demolished, Ahmadiyya place of worship vandalised in Sialkot
",0.067076869,
16140,Thailand approves law for $45bn Eastern Economic Corridor,0.067065403,
17501,Trump calls for close attention to warnings after Florida school massacre,0.067042053,
4465,The ban on triple talaq is just one step toward justice for Muslim women in India,0.06701564,
9235,Three injured in firing along Working Boundary,0.066965267,
4471,"Malala biopic Gul Makai's poster is out now
",0.066840224,
9055,Thailand revokes passports of ex-PM,0.066810995,
20306,"In a first, Indian Premier League prioritises 'spirit of cricket' over money, controversy
",0.06678284,
11288,ATC releases 73 protesters arrested from Faizabad sit-in on bail,0.066781089,
14382,"Inmates in India use drugs, bed sheets to pull off daring escape",0.066597946,
15150,Student ‘terrorists’,0.066596314,
19346,"One policeman killed in blast near security convoy in Egypt's Alexandria
",0.06657166,
17705,"US welcomes Afghan peace moves, but will keep pressure on Taliban",0.066501819,
14314,"Censor board, ministry agree to air anti-smoking messages before movies",0.066464044,
21171,"Dubai ruler’s daughter not seen since ‘escape attempt’
",0.066414379,
8967,Iran rejects Saudi accusation over Yemen,0.066406488,
9103,Pakistan Post issues commemorative stamps to honour Champions Trophy victory,0.066406026,
6877,US gun laws,0.066305131,
11888,Aamir Khan opts out of biopic on India's first space traveller,0.066303536,
3133,"Civil, military officials for cooperation with Kabul to remove terror support networks in Afghanistan",0.066293888,
8731,Ex-SECP chief Zafar Hijazi indicted for tampering record of Sharif family's mills,0.066237606,
20869,"Sri Lanka's president suspends parliament for one month
",0.066225871,
18434,NON-FICTION: REASSESSING THE IMPORTANCE OF EDUCATION,0.066164307,
7821,4 best wisecracks from Kumail Nanjiani's SNL debut performance,0.066158049,
20104,"Bench on Nawaz’s rant again disbanded
",0.06608846,
12316,Catalan separatists could lose absolute majority in vote: polls,0.065976925,
11541,The extremism challenge,0.06594988,
11292,PCB asks ICC to set up Dispute Resolution Committee over conflict with BCCI,0.065921597,
10178,Fazl rejects establishment’s role in MMA’s revival,0.065785065,
14895,Suspect arrested in Peshawar for giving death threats through social media,0.065702669,
8040,US seeks India’s help to ‘keep an eye’ on Pakistan,0.065663241,
13766,Former PAF chief Asghar Khan laid to rest in Abbottabad,0.065651581,
14561,More plead innocent in Mashal case,0.06564454,
20370,"Salman Khan's lawyer speaks up, says his verdict was ""a surprise""
",0.065620713,
4648,Rioting video sparks anti-Muslim rage in China,0.065573506,
17881,Pakistan loses 50pc market share in Kabul,0.065568462,
8227,Spanish cabinet meets to revoke self-government in Catalonia,0.06555704,
10018,"Delhi smog shortening lives, say doctors as hospitals fill up",0.065504529,
7499,Spain celebrates national day amid Catalan secession crisis,0.06543839,
12318,Right-wing divided,0.065349214,
20277,"Over 200 ads worth Rs1,076m issued in three months, SC told
",0.065330788,
18923,FICTION: LEAP OF FAITH,0.065321513,
21491,"France deports Salafist preacher accused of hate speech
",0.065134101,
2218,Landmark Bangladesh ruling: end of MPs power to sack judges,0.065075159,
18506,Rise of violent Buddhist rhetoric in Asia defies stereotypes,0.064986899,
17142,Khan attempts to reignite controversy over amendment to Khatm-i-Nabuwwat oath,0.064927019,
6361,Indian firing victim dies in hospital,0.064901605,
1541,SMOKERS’ CORNER: PROHIBITION OF PLEASURES,0.064894907,
20930,"It’s unfortunate that we drag our leaders through courts, regrets PM Abbasi
",0.064876854,
15632,Bilawal says Faryal not to contest for Senate chairmanship,0.064826004,
17130,Imran plans rally to express solidarity with judges,0.064808808,
3949,US towns that want to shed Confederate symbols hit bureaucratic roadblocks,0.064776488,
13843,Party of slain Saleh elects new chief,0.064759463,
19473,"Return of the native Indian, 84, visits business place he left in 1947
",0.064562663,
13837,Cost of empire?,0.064558573,
141,Even world establishment can’t save rulers: JI,0.064491786,
24533,"Commercial cinema can change mindsets, says Akshay Kumar
",0.064464584,
18309,"Sindh Assembly gets five-year details of ads given to newspapers, magazines",0.06439431,
13333,FOOTPRINTS: NO SHUTDOWN THIS YEAR,0.064380512,
18064,Whirlwind Perera steers SL to big T20 victory against India,0.064369127,
10828,Varun Dhawan gets in trouble with Mumbai police after taking selfie,0.06436833,
10289,"Drake paused his concert to tell a fan to ""stop touching girls""",0.064366221,
8387,Catalan separatists threaten Spanish government with 'mass civil disobedience',0.064358033,
2863,Akshay Kumar gets a Hollywood shoutout from Salma Hayek for Toilet: Ek Prem Katha,0.064343929,
23602,"Another exodus from PML-N as Punjab lawmakers join PTI
",0.064337157,
2289,Turkey promises to eliminate anti-China media reports,0.064331658,
15210,"View From Abroad: Europe’s soft power is a source of strength, not weakness",0.064314246,
13159,The long march,0.064242475,
24169,"‘More than 3,000 Hazaras killed since Sept 11, 2011’
",0.064240202,
15267,Unlawful deaths: a collective failure,0.064224049,
1582,Post-Panama Pakistan,0.064169087,
24696,"ECP issues code of conduct for polling staff, security officials for upcoming elections
",0.064138308,
6068,In the name of honour,0.064057112,
17114,Netanyahu confidant to testify against him,0.063902736,
23781,"NSC endorses Fata's merger into KP
",0.06383907,
8083,Private witness changes statement in Mashal case,0.0637578,
17470,‘Emperor Xi’? — China gambles on return to lifetime rule,0.063741848,
14160,I have only had spiritual relations with Bushra: Imran,0.063739367,
10579,"100 visiting Hindu pilgrims call for peace between Pakistan, India",0.063734293,
5840,"Abbasi, Trump emphasise need to continue bilateral ties",0.063705295,
9394,NON-FICTION: THE EMPIRE WRITES BACK,0.063620418,
4682,Sethi urges media to 'play its part' in making Independence Cup a success,0.063606128,
18736,Kremlin slams Britain's 'absolutely irresponsible' position,0.063603751,
9611,Axed Catalan leader urges separatist unity,0.063549779,
20063,"Pakistani English novel's ceaseless quest for identity
",0.063515276,
20757,"Do repeated attacks on judiciary not warrant any action, LHC asks Pemra
",0.063484237,
8303,"India win Asia Cup hockey, Pakistan clinch third spot",0.063462198,
21091,"Bolt takes turn as DJ as Gold Coast bids goodbye  to Commonwealth Games
",0.063404836,
14243,Trump’s slur horrifies US lawmakers,0.063396879,
1793,Khyber tribes asked to surrender  people involved in blasts,0.063371822,
6022,NARRATIVE ARC: UNSUNG HEROES OF MIANWALI,0.063365445,
17693,For the love of gun: US couples take weapons to church,0.063332804,
20615,"Rally held in Dir in support of army
",0.063330725,
16768,US indicts 13 Russian nationals for election interference,0.06324783,
20351,"Brinkmanship versus statesmanship and the slippery slope to war and violence
",0.063218012,
7731,"Austrian voters concerned about immigration, Islam",0.063215904,
12756,"3 FC soldiers martyred, 5 terrorists killed in cross-border attack in Mohmand Agency",0.063177697,
7304,Has UN failed the Rohingyas?,0.06314332,
7987,"In a first, PSL 2018 to be broadcast in India",0.063048474,
16129,Bangladesh opposition leader Khaleda Zia given 5 years in jail for embezzlement,0.062953755,
1865,Spread of illicit drugs in Sindh discussed in Question Hour,0.062884308,
12965,Fawad Khan is first choice for Bollywood adaptation of this new novel,0.062814325,
16301,Farewell Waja Siddiq Baluch,0.062798969,
17757,"Afridi picks up knee injury, ruled out of PSL for 10 days",0.062664524,
3354,Kicking Nawaz when he’s down,0.062637717,
23706,"Arab League calls for international probe into Israeli ‘crimes’
",0.062629834,
18192,Archie Comics is being made into a Bollywood film,0.062604681,
7467,Capt Safdar’s tirade,0.06258636,
13189,Ex-Catalan leader's bid to rule from abroad 'absurd': Spanish PM,0.062583737,
24226,"Injured Kohli to miss English county game
",0.062576532,
6646,"Are Trump, Tillerson 'good cop,' 'bad cop' to North Korea?",0.062563024,
19894,"15 Gazans killed by Israeli forces as thousands march near border
",0.062540635,
21546,"Foreign ministry told to settle Indian pilgrim’s nationality issue within three days
",0.062531725,
10895,Pakistan warns of RAW’s nexus with terrorist groups in Afghanistan,0.062482513,
3587,"Gayle, Samuels recalled for ODI series with England",0.062454194,
10727,Mugabe gives up after 37 years in power,0.062451124,
15972,Singer’s murder,0.062259629,
15195,"Scary time for artists and writers in India, says Nandita Das",0.062187854,
7368,‘Wider public debate needed on death penalty’,0.062172025,
21593,"PTM Lahore rally: Manzoor Pashteen announces to take grievances to Karachi on May 12
",0.062114589,
19395,"British journalist expelled ahead of presidential election
",0.062109903,
16409,Nationalists responsible for Balochistan woes: Haidri,0.062076073,
9579,At least 2 killed in attack on Kabul TV station,0.062033258,
15112,Indian murder convict gets prison break to father child,0.061884969,
4061,The best moments from the MTV Video Music Awards,0.06180511,
23521,"Police chiefs told to ensure FIR registration in missing persons’ cases
",0.061702572,
7241,Abbasi tells National Assembly IB list a ‘forged document’,0.061641954,
6515,"Xi says study capitalism, but Marxism remains top",0.061640978,
16321,"Jews were passive during Holocaust, says Polish official",0.061620131,
23278,"Artist Ai Weiwei says China still won’t tell truth about Sichuan quake
",0.061526421,
19103,"Salman Ahmad is leaving PTI and we don't know what true love is anymore
",0.061471909,
17160,Far-right conspiracy theorists target Florida shooting survivors,0.061379567,
13160,"Indian design to hamper CPEC project to be foiled, asserts Ahsan Iqbal",0.061367322,
15850,Egypt allowed covert Israeli strikes against militants: NYT,0.061357155,
12393,Official accused of asking Sikhs to convert,0.061314769,
8649,"Masseuse tells court she cried after Chris Gayle 'exposed himself', cricketer denies allegations",0.061301921,
5215,"China’s policy towards Pakistan unchanged, says Ahsan",0.061191857,
14976,Murder by police,0.061092075,
8140,India welcomes Tillerson call for deeper ties to counter China,0.06106976,
10618,"Charles Manson, cult leader and mass killer, dies at 83",0.061067075,
15813,Imran Khan vows to take Mehsud protesters' demands to army chief,0.061046422,
14516,Modi launches $6.8bn refinery in Rajasthan,0.061019465,
125,Guy Ritchie will cast Indian actors as Aladdin and Jasmin after facing backlash,0.06096581,
21129,"LHC orders Pemra to uphold ban on all 'anti-judiciary speeches'
",0.06095092,
21405,"UN official calls for bringing Syria war criminals to book
",0.060942907,
16858,INTERVIEW: WAVELL AND HIS DISCONTENTS,0.060793716,
12853,"US decides to arm Ukraine, angering Russia",0.060736455,
7186,PM formally dismisses Intelligence Bureau 'monitoring list' as fake,0.060711704,
13403,Israeli minister wishes Iranian protesters 'success',0.060600273,
9347,Netflix fires Kevin Spacey amid sexual misconduct allegations,0.060519282,
15083,German far-right politician converts to Islam,0.06043582,
18816,Guns or books?,0.060409296,
1995,NON-FICTION: THE THORNS OF A LIFE,0.060328744,
3695,India’s court raps BCCI for inaction on reforms,0.060327571,
14741,When Munoo Bhai met the masses,0.060320079,
15530,Naqeebullah murder: The 'encounter' that ended Pakistan's passivity over extra-judicial killings,0.060280874,
17097,New woes for Netanyahu as associates probed in fresh graft cases,0.060274139,
6866,"ISPR discusses security, civil-military relations and regional policy in wide-ranging press conference",0.060271293,
20782,"The awakening
",0.060223777,
12507,Ahmed overcomes Indian opponent to advance in tennis tournament,0.060209934,
10629,Kenya top court upholds President Kenyatta's win in repeat election,0.060098223,
24499,"Israel, Hamas trade fire on Gaza border; Palestinian killed
",0.059961308,
24112,"The poetry of Habba Khatoon, a Kashmiri peasant-queen, still resonates nearly 500 years later
",0.059881631,
17110,Survivors of Florida school massacre push lawmakers for ban on assault gun,0.059785236,
1669,Meera denies rumours of contesting 2018 elections against Imran Khan,0.05977365,
7216,Couple in Nepal's 'first transgender marriage' finds acceptance,0.059705522,
10240,These celebrities are protesting the Verna ban on social media,0.059697419,
7174,PPP files motion in Senate against 'US attempt to sabotage CPEC',0.05968174,
15897,VIEW FROM ABROAD: The coming US-China war?,0.059635583,
1293,Sri Lanka to probe 2011 World Cup's controversial defeat against India,0.059616547,
9399,"Sara Ali Khan’s debut film to hit theatres in December, 2018",0.059506845,
17754,"Two shot dead at US university, suspect at large",0.059493825,
18819,Two women arrested for breaking into US Islamic centre,0.059409,
21439,"Israeli troops kill 4 more Palestinians in border protest
",0.05931595,
21083,"INTERVIEW: “REMNANT OBJECTS PLAY AN IMPORTANT ROLE IN TRIGGERING MEMORY”  — AANCHAL MALHOTRA
",0.059302222,
1992,NARRATIVE ARC: THE EGALITARIAN NAWAB,0.059279684,
14651,‘Quaid did not want to separate Pakistan from a larger configuration’,0.05910068,
20251,"Female suspect dead, several hurt in shooting at YouTube offices
",0.059059784,
11558,Nine Afghans arrested in Jamrud,0.059022851,
16349,Asma Jahangir: The street fighter,0.058992989,
22257,"Israel accuses Iran of pursuing secret nuclear weapons plan
",0.058968309,
2592,Sindh abductions: Three more activists go missing from Thar,0.058942754,
23080,"Gen Bajwa named 68th 'most powerful' person in the world by Forbes
",0.058871385,
749,Hussain Nawaz returns from London,0.058868144,
6167,Russia threatens to ban Facebook in 2018,0.058848891,
18479,49 killed in Nepal's worst plane crash in decades,0.058841933,
12430,Indonesia protesters want boycott of US products over Jerusalem,0.058807269,
6784,What qualifies as anti-judiciary speech?,0.058789041,
8490,US weighing sanctions against Myanmar military over Rohingya violence,0.058687095,
9674,Trump warns North Korea's 'cruel dictatorship' against underestimating the US,0.058674194,
22809,"Order on plea to put US diplomat on ECL reserved
",0.058652822,
18577,SC will order provincial govts to reimburse kitty for taxpayer funds spent on advertising: CJP,0.058630981,
18795,Anti-judiciary tirades: LHC chief justice asked to form larger bench for petitions against PML-N leaders,0.058567807,
17478,Embarrassments & isolations,0.058513418,
2469,Jab Harry Met Sejal review: A woman looks for a ring and a plot purpose,0.0584937,
17909,FESTIVAL: IS THE LLF LOSING STEAM?,0.058411509,
4151,"Widespread rain in Sindh forecast for today, tomorrow",0.058265239,
5569,Pakistan's UN representative asks Swiss authorities to take action against 'Free Balochistan' posters,0.058222026,
3760,"Army won’t act against Haqqani network, says Samiul Haq",0.058198348,
11165,The long road to recovery,0.058140822,
6891,Spanish court pressures Catalans in tense independence standoff,0.058128238,
12713,Catalans go to the polls in bid to resolve Spain’s crisis,0.058123432,
2754,What happens now that North Korea has just called Trump’s bluff,0.058091495,
19891,"Russia tests new intercontinental ballistic missile
",0.05808099,
905,Foreign policy challenges,0.058055919,
1871,Akshay Kumar reveals he was sexually abused at age 6,0.058007665,
11066,An overview of the crisis that forced the government to capitulate,0.057982471,
12443,New Austrian govt pledges pro-EU approach,0.057976857,
6911,Pakistan warns India against targeting its N-installations,0.057971105,
23202,"Maulana Abdul Aziz not allowed to lead Friday prayers
",0.057913683,
11115,List of demands put forward by TLY and accepted by govt for ending the Faizabad protest,0.057814132,
9972,'Old' Trump takes dig at 'short and fat' Kim Jong-Un,0.057811785,
14777,Will Aamir Khan's Secret Superstar top China's box office?,0.057776719,
135,Zardari slams Sharif for staying away from NA sessions,0.057745576,
10336,IBM urged to avoid working on US immigrants,0.05773456,
9766,Sindh Assembly berates federal minister for call to build Kalabagh dam,0.057708662,
10500,Malala’s book being translated into Urdu,0.057708312,
6128,"Abe — nationalist blue blood at home, shrewd diplomat abroad",0.057640895,
11323,Kohli-led India look to record books in Sri Lanka Test,0.057633575,
5206,"India, Pakistan resume talks to resolve water dispute",0.057628252,
8932,"Catalan leaders to be tried for rebellion, says Spain state prosecutor",0.057552624,
14023,100 Frenchwomen denounce #MeToo for ‘puritanism’,0.057549007,
6958,"While grievances of Iraqi Kurds are genuine, timing of the referendum is questionable",0.057534512,
8355,"Experts urge US, Pakistan to readjust their stances",0.057413828,
14550,Karachi police register FIR against suspects behind attack on SSP Rao Anwar,0.057408132,
17491,"Cases of missing people increasing, SC told",0.057370543,
2829,Mail box,0.057248391,
22062,"Pakistan Railways' audit be completed in six weeks, orders SC
",0.057220731,
10346,Faizabad sit-in: A war of attrition,0.057160672,
23988,"Rangers soldier martyred in Indian shelling
",0.057143148,
8994,No pressure to revoke blasphemy laws: religious affairs minister,0.05713113,
23925,"China tells all mosques to raise national flag to 'promote a spirit of patriotism'
",0.057117913,
11715,"Value system, unity best antidote to terrorism: Sadiq",0.057079136,
30,"London acid attack victim says he, cousin targeted for being Muslim",0.057042368,
20551,"SMOKERS’ CORNER: FAKE OR FACT
",0.057039216,
9932,No let-up in road blockades as sit-in continues in capital,0.057020023,
23023,"US blocks UN sanctions on Khurasani
",0.056963548,
3306,Mail box,0.056919489,
56,"Movie makeup tips: Forget making an actor look good, focus on the character",0.056898165,
2348,Mail box,0.056895569,
11449,NON-FICTION: A THOUSAND AND ONE VOICES,0.056891017,
2292,"Frustrated with Afghan war, Trump wants to sack his commander",0.056875851,
19895,"Widow of Pulse nightclub gunman cleared of all charges
",0.056845862,
17369,'Reckless decision': Russian-Polish mountaineer attempts first winter solo summit on K2,0.056832083,
20141,"India pushes state banks to find own funding sources after $32bn bailout
",0.056797899,
3877,Mail box,0.05677069,
774,"All the jokes about the font Calibri that you should read today
",0.056699045,
8962,Direct rule takes hold in Catalonia as secessionists accept elections,0.056607809,
4950,How to counter colonial myths about Muslim arrival in Sindh,0.056537095,
10973,Trump says he turned down Time's 'Person of the Year',0.056535691,
5550,What happens if police force you to unlock your iPhone X with your face?,0.056500074,
13644,America suspends entire security aid to Pakistan,0.056499116,
1240,Armeena Khan announces her engagement on Instagram,0.056494948,
9557,The plight of an Indian fisherman's wife whose husband has been imprisoned in Pakistan for years,0.056475341,
10869,"Hun Sen will fall like Zimbabwe’s strongman, says opponent",0.056400362,
5913,PCB to approach ICC body over compensation claim against BCCI,0.056326229,
14580,Afghan army to collapse in six months without US help: Ghani,0.056323603,
8722,Baidu shares plunge over poor revenue outlook,0.05631737,
365,18-month-old diagnosed with polio in Chaman,0.056256969,
17439,Judicial independence is vital for democracy but judicial activism can be counterproductive,0.056237116,
11268,"We must attack shame and secrecy around menstruation, say health activists",0.056229126,
544,76 policemen injured in clashes in Hamburg ahead of G20 summit,0.056151327,
14242,IHC summons secretaries in Faizabad sit-in case,0.055992842,
15652,"Naqeebullah protest moves to Islamabad, demands end to 'Pakhtun genocide'",0.055978,
23855,"Company in Cuba plane crash had received safety complaints
",0.055837937,
2614,Kenya on edge as vote count begins after bitter campaign,0.055794705,
3083,Iran freezes assets of over 150 BBC staff,0.055769045,
4537,Many terrorist groups in South Asia responsible for extreme acts: FO on BRICS' security concern,0.055744264,
11181,Indian economic growth set to end five-quarter slide,0.055738829,
17553,Colleagues block oath-taking of minority MPA-elect,0.055700336,
17560,NA panel opposes maps showing AJK as disputed territory,0.055674579,
21466,"UN honours 7 Pakistani peacekeepers
",0.055590641,
1394,Shikhar or Abhinav should not feel burden of pressure: Kohli,0.055584144,
14245,LHC issues notice to PM over ‘anti-judiciary’ speeches,0.05556,
12224,WTO struggles to hone global vision after US turnabout,0.055482365,
5567,Snapchat blocks Al Jazeera in Saudi Arabia on govt's request,0.055477109,
7636,Hafiz Saeed to be kept in house arrest under MPO ordinance,0.055407938,
8663,Scientists discover 150m-year-old marine reptile’s fossil in India,0.055396736,
3873,WI bundle out England for 258,0.055393536,
15926,Disgraced USA Gymnastics doc sentenced to another 40-125 years,0.055374712,
2065,Opposition protests Maduro's 'sham' election victory in Venezuela,0.055374645,
8571,No to CPEC unless Pakistan provides trade access to India: President Ghani,0.055328161,
12420,"RETROSPECTIVE: EAST WING LOST, WEST WING UNDER THREAT",0.055314716,
9203,"Explosion at Indian power plant kills 26, injures dozens",0.055310171,
2873,Vidya Balan is now part of the Indian censor board,0.055281941,
18711,Suspect involved in Pindi journalist murder case arrested by police,0.055241182,
21260,"PPP, PTI quibble over leaking of PM nominees’ names
",0.055169657,
9630,"US still hopes to work with Pakistan, says Alice Wells",0.055120468,
11619,Afghan intelligence agency reports killing of scores of Al Qaeda figures,0.055111997,
7102,"Nawaz won’t succeed in causing institutional rift, says Shafqat",0.055090759,
10695,"SC takes notice of Islamabad sit-in, inquires about steps taken for freedom of movement",0.055078726,
20266,"Ghinwa Bhutto says PPP deceiving people in name of provincial autonomy
",0.055056784,
13978,Case against Palestinian teen who slapped Israeli soldiers spotlights her activist family,0.054991949,
24519,"Conspiracies against country to be foiled: CM
",0.054937143,
12118,Liberals are dangerous,0.054932576,
7199,Farhatullah Babar championed causes that few other parliamentarians did,0.054904792,
8014,Pakistan lose five-goal thriller against Malaysia,0.054890227,
12725,FPCCI demands appointment of finance minister,0.054872416,
19026,Bangladesh SC cancels bail for opposition chief Khaleda Zia,0.054857623,
243,India set to propose new rules for rating agencies,0.054855656,
17432,Minority leaders oppose Baldev Kumar’s production in PA,0.054843973,
19296,"Mystery surrounds Rao Anwar’s case
",0.054744318,
9288,Smog not that alarming: govt,0.054709442,
210,"India, Australia march ahead in women’s World Cup, leaving Pakistan behind",0.054666918,
1064,Knifeman attacks church guard in Alexandria,0.054620184,
11721,Mayor of London brings peace tidings from India to Pakistan,0.054592252,
19562,"Once hot favourite, India bonds lose their charm for foreign investors
",0.054583669,
6578,"Lahore celebrates Banned Books Week with readings of Rais Amrohvi, Ahmed Faraz and J K Rowling",0.054562993,
13187,At least 9 killed in attack on church in Egypt,0.054543808,
3715,Senate lashes out at Trump over tirade,0.054495756,
6870,No room for the truth,0.054473653,
6034,Shelling forces villagers to spend nights in the open,0.054460026,
15143,"Guilty in Naqeeb case will be punished, Durrani tells Sindhi-Pathan community of Shikarpur",0.054455806,
20249,"The shape of hate
",0.054433346,
11005,Gunmen in Egypt attack ‘carried IS flag’; death toll rises to 305,0.054416351,
16781,China vows to protect interests as US eyes trade sanctions,0.054393996,
12041,ATC refuses to transfer 2014 PTV attack case against Imran Khan to civil court,0.05438251,
14393,US diplomat Alice Wells acknowledges Pakistan's role in countering terrorism,0.054273665,
16539,Military trial of Palestinian teen protest icon Ahed Tamimi opens behind closed doors,0.05426028,
3681,US Navy to relieve 7th fleet commander of duty after collisions,0.054211508,
15981,Veteran journalist Siddique Baloch passes away in Karachi,0.054209832,
1000,Ex-BCCI president Anurag Thakur tenders unconditional apology in SC,0.054187994,
533,"Facebook VP, Nisar discuss 'removal of blasphemous content'",0.054100942,
20621,"Sharif's lawyer, judge exchange hot words as LHC bench takes up contempt petitions
",0.054097313,
20302,"11-year-old whiz kid helps Wales beat Indian table tennis team at Commonwealth Games
",0.054075785,
23886,"Political parties, civil society protest against ‘enforced disappearances’
",0.054074962,
20265,"Sindh records 1,643 cases of violence against women since last year
",0.0540387,
18388,Indian surgeon to perform liver transplants,0.053996786,
20389,"The fall of a princess: South Korea's first female president lands in jail
",0.053875603,
1107,Army launches Operation Khyber-4 in Rajgal Valley,0.053870678,
18040,Netanyahu’s ex-aide to testify against him,0.053856753,
11916,"A little dissent, please",0.053843085,
12173,Afghan women officers receive weapons and training at an Indian military academy,0.053814523,
20052,"Winds of change in India’s telcos
",0.053772192,
17964,A child dancing to an item number leads to the sexualisation of children: Shabana Azmi,0.053736344,
23968,"Malaysia sets up task force to probe looted wealth
",0.053720355,
20630,"South Korean ex-president Lee indicted for corruption
",0.053715676,
17057,Superbug typhoid strain behind Pakistan outbreak: study,0.05366125,
21655,"Soldier killed in Miramshah IED blast
",0.053639375,
8281,"Pakistan, Turkey agree to enhance trade ties",0.05360955,
13896,4 cricketers arrested in India-held Kashmir for playing Pakistani national anthem before match,0.053599074,
13920,"England cannot hide truth of Aussie hammering, says Boycott",0.053598195,
12436,Kangana Ranaut defends Zaira Wasim against critics of her harassment claim,0.053553212,
13720,Pakistan renews pledge to work for regional peace despite US aid suspension,0.053533372,
6544,Election symbol allotted to Tehreek-i-Labbaik Pakistan,0.053498004,
8738,Justice Ejaz Afzal takes oath as acting CJP,0.053473964,
10630,Photo of Israel president in Palestinian scarf sparks probe,0.053426404,
24635,"Censor board says female-centric film Veere Di Wedding will be banned in Pakistan due to ""vulgarity""
",0.05337517,
13352,Police crackdown on PPP men for misbehaving with Thar district chief,0.053333897,
13172,"UN rights investigator calls for pressure on China, Russia over Myanmar abuses",0.053323071,
20590,"Brazil’s ex-president starts 12-year prison term
",0.053305641,
13164,How Trump and fake news is making satire a real challenge,0.053285263,
1447,The ummah at war with itself,0.053276449,
23865,"Rights activists hold hunger strike outside KPC to protest against enforced disappearances in Sindh
",0.053215973,
6330,"
",0.05321135,
13273,2017 in review: The most disturbing stories from the outgoing year,0.053180311,
17524,"Sridevi's case closed by Dubai police, remains handed over to family",0.053170763,
23245,"KU professor Dr Riaz Ahmed missing since last night, family says
",0.053160604,
23937,"Muslim unity?
",0.053144008,
11237,Politics of hate,0.053123228,
4035,The Hindu woman who found her freedom in the sound of the azan,0.053094056,
21022,"St Lucia, India celebrate first athletics gold medals
",0.053091392,
11136,Ivanka Trump’s India visit raises questions about her brand,0.053076692,
9865,Hezbollah accuses Saudi Arabia of detaining Hariri,0.05305605,
24340,"Gold demand in Asia fades as prices recover
",0.052979257,
17681,Cyberattack 'ongoing' against German government network,0.052940041,
18668,"‘Human error’ caused children’s death in Benazirabad, says health ministry",0.05293433,
13832,"Killers will be arrested soon, Siyal assures trader brothers’ family",0.05291203,
8706,How an eight-year-old in Paris gave me new hope for India and Pakistan,0.052858226,
17190,Pemra told to decide on plaints against Nawaz’s rant,0.052857213,
3843,Pakistan sets terms for help in anti-terror fight,0.052788366,
4251,Monsoon spell brings widespread rain across Pakistan,0.052785095,
23478,"In pictures: 'Bloodiest day in Israel-Palestine conflict' as US moves embassy to Jerusalem
",0.052769717,
6572,NARRATIVE ARC: MUDDLING THE LINES,0.052766874,
6585,Special Report: Democracy in Disarray 1974-1977,0.052740835,
22782,"22 arrested in India in three rape cases
",0.052710883,
15052,Up to 175 years in jail for disgraced USA Gymnastics doctor,0.052679136,
18303,Judge hears case of people blocked by Trump on Twitter,0.052677773,
7974,8 wounded in 'heaviest incident of shelling' by Indian troops across LoC,0.05250657,
24524,"Mahathir axes Singapore high-speed rail link
",0.052501921,
12892,"China has shut down 13,000 websites since 2015: Xinhua",0.052453984,
